How concerned, if at all, do you currently feel about the following: - Being able to receive health care 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",20.4,24.3,27.4,23.8,4,0.8,21098
"AK",18.4,25.8,27.8,24.6,3.4,12,122
"AL",19,18.7,30.8,25,6.5,5,517
"AR",20.6,20.6,31.8,22,5,6,386
"AZ",22.7,21.1,27.9,24.2,4.1,5.3,463
"CA",16.4,22.8,28.8,28.9,3.1,4,802
"CO",22.1,29,25.1,22.3,1.5,5,473
"CT",23.5,23.8,28.5,21.5,2.7,5.2,408
"DC",12.3,15.2,38.5,29,5,8.9,232
"DE",19.1,25.4,33.2,18.8,3.5,7.5,279
"FL",22,20.3,28.3,26,3.4,4.3,576
"GA",18.9,19.3,28.1,29.4,4.3,4.4,598
"HI",21.3,16.2,28.2,29.8,4.6,7.8,257
"IA",25.3,30.6,25.2,15.9,3,6.9,251
"ID",19.9,27.2,27.8,19.9,5.2,7.1,265
"IL",21,23.1,23.4,27.9,4.6,4.3,508
"IN",22.3,27.1,28.1,18,4.5,4.8,463
"KS",24.1,25.4,26.3,20.7,3.4,5.2,435
"KY",21.6,29,28.6,18.5,2.3,4.8,508
"LA",21.7,19,27.9,25.8,5.6,5.8,439
"MA",21.5,24.5,28.9,21.2,3.9,4.4,600
"MD",18.7,24.5,30.3,22.6,4,4.6,537
"ME",25.1,23.8,31.7,15.1,4.3,6.5,283
"MI",24.9,28.1,24,18.5,4.5,4.6,581
"MN",24.8,31.8,26.6,15.4,1.5,4.9,528
"MO",27.2,27.4,25.1,17.1,3.2,4.8,507
"MS",18.8,20.6,19.9,35.5,5.3,7.2,393
"MT",30.2,31.6,22.8,10.5,4.8,7.8,210
"NC",19.9,24.2,31.2,20.7,4,4.4,521
"ND",26.1,32.2,24.2,16.4,1,8.5,184
"NE",23.6,23.8,25,21.8,5.7,6.3,305
"NH",14.1,29,37.5,17.6,1.8,8.1,202
"NJ",16.1,26.5,27.8,25.2,4.4,4.4,511
"NM",17.2,20.8,30.6,26.5,4.9,7.3,313
"NV",16.3,24.6,23.9,32.4,2.8,5.9,434
"NY",20,25.9,26.8,24.2,3.1,4.3,618
"OH",21,27.5,24.6,19.5,7.5,4.3,516
"OK",18,21.8,26.8,29.2,4.2,5.3,485
"OR",22,28,29.2,18,2.7,5.1,469
"PA",23.8,24.4,24.7,22.7,4.4,4.4,510
"RI",24.6,26.2,20,24.6,4.5,7.3,255
"SC",20.2,22.5,28.7,22.6,6,5.4,452
"SD",28.9,15.4,28.9,20.1,6.6,9.2,183
"TN",19.5,25.1,24.6,24.6,6.2,4.4,498
"TX",18.8,18.7,25.3,32.7,4.5,4.3,633
"UT",26,27,21.9,20.6,4.5,6.7,271
"VA",20.8,27.6,21.9,26.6,3.1,4.4,541
"VT",28.9,30.4,24.6,11.6,4.6,10,130
"WA",19.4,25.9,30.9,19.3,4.5,4.8,485
"WI",24.1,24,31.9,17.5,2.5,5,449
"WV",17.9,23.8,28.8,26.7,2.7,6.5,370
"WY",24.6,36,19.1,13.8,6.5,10.9,142
