How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Congress 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",21.6,36.5,34.2,7.7,0.8,21109
"AK",21.6,38.5,32,7.8,13,123
"AL",21,37.1,33.8,8.1,5.3,516
"AR",25.9,34.5,25.6,13.9,6.1,387
"AZ",20.5,39.2,34,6.2,5.8,463
"CA",18.6,35.5,39.3,6.7,4.3,802
"CO",27.3,38,27.6,7.1,5.3,475
"CT",22.8,36.5,34.1,6.6,5.5,413
"DC",16.9,23.4,41,18.8,8.9,234
"DE",21.9,37.7,35.6,4.8,7.7,279
"FL",20.1,33,36.9,10,4.6,578
"GA",22.2,35.1,35.5,7.2,4.6,601
"HI",25.3,33.7,35.9,5,8.2,257
"IA",21.4,40.9,33.5,4.2,7.3,250
"ID",24.9,41.3,26.6,7.2,7.8,266
"IL",21.6,37.6,33,7.9,4.6,508
"IN",22.9,37.4,33.7,6.1,5.2,463
"KS",26,38.1,31.6,4.3,5.7,433
"KY",20.4,35.1,37.8,6.7,5.1,508
"LA",17.1,34.2,36.3,12.4,6.2,441
"MA",16.7,37.6,37.6,8.1,4.7,599
"MD",19.9,37.2,33,9.9,4.8,537
"ME",22.3,42.1,31.6,4,6.9,285
"MI",21.4,36.6,34.7,7.3,4.9,577
"MN",20.6,39.6,36.9,3,5.2,523
"MO",19.8,42.8,32,5.5,5.3,506
"MS",23.9,39.6,27.7,8.8,7.2,399
"MT",28,38.1,28,5.9,8.2,209
"NC",23.6,36.4,32.8,7.2,4.6,520
"ND",23.4,33.3,36.9,6.4,8.8,185
"NE",22.2,46,26.3,5.5,7.3,305
"NH",26.3,35.2,32.4,6.1,8,201
"NJ",18.8,40.6,32.7,7.9,4.9,514
"NM",24.8,42,26.6,6.6,7.8,313
"NV",27.1,35.8,29,8.1,6,434
"NY",19.7,36.2,32,12.1,4.7,612
"OH",22.1,36,35.6,6.3,4.6,515
"OK",26.9,37.7,26.1,9.4,5.7,484
"OR",25.1,43.4,28.3,3.2,5.6,472
"PA",21.7,36.2,35.4,6.7,4.9,511
"RI",18.4,31.9,45,4.7,8.3,255
"SC",23.8,33,34.9,8.2,5.6,452
"SD",18.1,48.9,30.6,2.4,10.1,183
"TN",24.6,33.8,34.5,7.2,4.8,498
"TX",24.4,33.5,33.3,8.8,4.4,637
"UT",28.8,30.5,35.5,5.2,7.3,270
"VA",28.4,32.2,31,8.4,4.6,538
"VT",12.3,47.5,35.2,5,10.8,131
"WA",20.1,38,36,5.8,5.1,487
"WI",29.3,30.8,37.1,2.8,5.2,448
"WV",23.4,35.4,35.5,5.7,6.9,371
"WY",38,33.8,23.6,4.6,11,141
