Age range 
"","18 to 24","25 to 44","45 to 64","65 and over","Error Margin","N"
"National",12.6,34.8,32.9,19.7,0.8,21196
"AK",15.5,40.2,32.4,11.9,13.1,123
"AL",12.5,34.2,32.9,20.4,5.2,519
"AR",12.6,33.7,33.1,20.5,6.1,388
"AZ",11.5,34.4,32.2,21.8,5.6,464
"CA",11.9,37.4,32,18.7,4.3,808
"CO",12.6,37.3,33.2,16.9,5.3,476
"CT",12.8,29.5,36.2,21.5,5.5,414
"DC",11.6,47.5,27,13.9,9.1,236
"DE",12.2,31.6,33.1,23.1,7.5,279
"FL",11.4,31.2,32.3,25.1,4.5,580
"GA",13.6,35.4,33.2,17.8,4.6,602
"HI",12.1,34.5,32,21.5,8.1,257
"IA",13.4,31.8,33.1,21.6,7,252
"ID",14,36.9,31.1,18.1,7.7,267
"IL",11.8,33.1,34.7,20.4,4.5,508
"IN",12.7,33.5,34.5,19.4,5.1,464
"KS",14.4,35.2,31.5,18.9,5.6,436
"KY",12.2,33.6,35,19.3,5,512
"LA",10.9,36.3,33.8,18.9,6.2,442
"MA",12.7,33.5,34.6,19.2,4.6,603
"MD",11.8,34,34.9,19.4,4.7,538
"ME",10.6,29.8,37.3,22.3,6.7,287
"MI",12.5,31,36,20.5,4.9,581
"MN",11.8,34.3,35,18.9,5.1,528
"MO",12.2,31.6,34.6,21.6,5.1,509
"MS",14.2,35.3,35.2,15.2,7.1,401
"MT",12.8,30.6,34.3,22.2,8,210
"NC",9.5,32.4,36.5,21.6,4.6,521
"ND",16.3,35.5,30.9,17.3,8.7,185
"NE",13.6,34.5,32.3,19.6,6.9,306
"NH",12.2,30.5,37.8,19.6,8.1,202
"NJ",10.9,33,34.7,21.3,4.7,515
"NM",14.2,32,31.7,22.1,7.4,313
"NV",11.3,36.4,32.6,19.7,6,437
"NY",12.8,34.3,33.6,19.2,4.6,618
"OH",11.9,32,34.8,21.3,4.6,518
"OK",13.2,35.8,32.4,18.5,5.6,486
"OR",11.7,35.6,32,20.7,5.4,472
"PA",11.5,31.6,34.5,22.3,4.8,512
"RI",14,31.3,33.3,21.4,7.9,255
"SC",12,32.5,33.7,21.8,5.6,452
"SD",13.7,32.7,33.2,20.4,9.5,184
"TN",11.8,33.3,34.5,20.4,4.8,499
"TX",13.6,38.5,31.8,16.1,4.5,639
"UT",17,43,26.9,13.1,7.5,271
"VA",12.5,35.5,33,18.9,4.7,543
"VT",13.8,29.3,36.2,20.7,10.4,131
"WA",11.1,36.4,33.4,19.1,5,489
"WI",12.3,31.1,35.6,21.1,5.1,450
"WV",11.8,31.5,35.5,21.2,6.9,372
"WY",13.7,33.8,33,19.4,10.7,142
