How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Your city government 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",8.8,20.2,50.2,20.9,0.9,21144
"AK",1.7,21,49.6,27.7,13.3,123
"AL",11,23.9,51,14.1,5.4,518
"AR",13.5,21.4,47.2,17.9,6.4,387
"AZ",10.4,23.6,48.4,17.6,5.9,464
"CA",7,16.8,53.7,22.5,4.4,806
"CO",11.3,19.7,47.9,21.1,5.5,476
"CT",3.6,15.2,53,28.2,5.8,411
"DC",5.6,12.9,39.7,41.9,9,235
"DE",11.1,17.2,47.5,24.3,8,278
"FL",10,24.8,48.2,16.9,4.8,579
"GA",11.6,22.2,47.5,18.7,4.9,600
"HI",18.2,21.2,43.9,16.7,8.4,257
"IA",11.3,24.6,53.6,10.4,7.4,251
"ID",9.8,30.2,46,14,7.9,267
"IL",10.4,14.9,47.2,27.4,4.8,507
"IN",10.5,23.1,48.3,18.1,5.4,463
"KS",7.2,20.8,53.7,18.3,5.8,434
"KY",6.6,24.4,54.5,14.5,5.3,510
"LA",10.5,21.8,50.2,17.5,6.5,442
"MA",6.3,11,49.8,32.9,4.9,600
"MD",5.9,17.1,49.5,27.5,5,535
"ME",6.3,13.7,61.9,18.1,6.8,284
"MI",8.6,14.8,56.1,20.5,5,581
"MN",5.9,17,57.9,19.2,5.2,526
"MO",6.8,22.3,54.6,16.2,5.3,509
"MS",16.3,21.4,48.6,13.7,7.4,401
"MT",10.4,20.7,56,12.9,8.4,210
"NC",7.8,19.4,53.7,19.1,4.8,521
"ND",7.6,22.7,52.5,17.2,9.1,185
"NE",11.1,20.2,44.5,24.2,7.2,306
"NH",4.6,16.6,57.2,21.7,8.3,201
"NJ",5.7,15.8,53.5,24.9,4.9,513
"NM",6.2,23.1,44.6,26.1,7.9,312
"NV",12.3,26.5,43.5,17.7,6.2,437
"NY",8.7,13.6,53.1,24.7,4.9,618
"OH",8.9,17.2,53.8,20.1,4.8,516
"OK",13.7,26.2,45.4,14.7,5.9,484
"OR",9.7,25.9,49,15.4,5.6,471
"PA",12.1,24.4,48.2,15.2,5.1,509
"RI",5.8,11.7,56.1,26.4,8.3,254
"SC",15.1,24.4,46,14.5,5.9,452
"SD",6.8,21.3,51.2,20.7,10.1,183
"TN",11.8,19.5,50.9,17.8,5,499
"TX",9.7,20.4,48.6,21.3,4.6,638
"UT",13.7,18.7,49.6,18,7.6,271
"VA",9.3,22.7,49,18.9,4.9,541
"VT",4.5,10.9,59.8,24.8,10.6,131
"WA",6,19.9,52.6,21.5,5.2,486
"WI",9.7,24.4,52,13.9,5.4,450
"WV",8.9,30.2,47.4,13.6,7.2,370
"WY",13.2,24.4,43.6,18.7,11.2,142
