In the last week, how closely did you personally follow the health recommendations listed below? - Frequently washing hands 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",1.6,4.2,19.5,74.7,0.8,21123
"AK",4.4,6.5,13,76.2,11.4,122
"AL",3.4,4.1,18.7,73.9,4.8,517
"AR",2.5,2.9,18.9,75.7,5.5,387
"AZ",0.7,2.9,17.8,78.6,4.8,464
"CA",2.1,4.8,18.2,74.9,3.8,805
"CO",3,5.4,23.3,68.4,5.1,475
"CT",0.4,3,19.7,77,4.8,414
"DC",0.3,5.3,16.9,77.5,7.6,234
"DE",0.9,1.6,15.1,82.4,6.1,278
"FL",0.8,4.8,17.6,76.8,4,577
"GA",2.7,2.3,18.1,76.8,4.1,601
"HI",2.4,1.5,19.8,76.3,7.2,257
"IA",3.4,5.3,31.8,59.5,7.3,251
"ID",0.6,7.7,20.7,71,7.2,267
"IL",2.5,3.3,19.7,74.6,4.2,504
"IN",3.3,3.6,20.5,72.5,4.8,464
"KS",1.7,4.7,23.9,69.8,5.4,433
"KY",1.3,7,17.4,74.2,4.6,511
"LA",2.6,6.6,15.6,75.2,5.6,441
"MA",2,4.2,18.5,75.3,4.2,602
"MD",1.2,3,16.1,79.6,4,536
"ME",1.4,3.6,23.2,71.9,6.3,286
"MI",0.9,3,20.8,75.2,4.4,580
"MN",3.3,5,22,69.7,4.9,528
"MO",1.7,4.6,19.5,74.2,4.7,507
"MS",2.4,2.2,21.6,73.8,6.5,397
"MT",2.2,5.9,20.6,71.3,7.6,210
"NC",0.6,5,18.8,75.6,4.1,521
"ND",1.3,8.8,26.9,63,8.8,185
"NE",3.4,2.7,22.9,71,6.6,306
"NH",0.9,4.8,28.3,66,7.9,202
"NJ",0.9,3.6,17.4,78.1,4.1,512
"NM",1.8,3.5,24.1,70.7,7.2,313
"NV",0.6,2.9,15.1,81.5,4.9,434
"NY",0.8,4.1,19.4,75.8,4.2,614
"OH",3,3,20.6,73.4,4.2,518
"OK",1.7,4.2,19.3,74.8,5.1,483
"OR",3,4.2,22.1,70.8,5.1,471
"PA",3.7,5.7,19.1,71.5,4.6,507
"RI",0,2,18.3,79.7,6.7,255
"SC",1.7,3,18.6,76.7,5,449
"SD",2.2,10.9,24.8,62.1,9.8,183
"TN",1.8,3.7,18.2,76.2,4.3,496
"TX",1.2,5.2,18.4,75.2,4,636
"UT",0.6,2.7,23.2,73.5,6.7,271
"VA",1.8,2.4,20.1,75.6,4.2,541
"VT",3.2,6.6,25.4,64.8,10.4,130
"WA",0.7,4.1,23.8,71.3,4.7,487
"WI",1.7,4.5,24.1,69.7,5,448
"WV",1.8,4.2,15.3,78.7,5.9,371
"WY",3.1,3.9,23.7,69.3,10.4,142
