In the last week, how closely did you personally follow the health recommendations listed below? - Avoiding public or crowded places 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",4.5,8.2,26.3,61,0.9,21115
"AK",8.3,3.6,15.5,72.6,11.9,123
"AL",6.1,10.2,28.2,55.6,5.4,519
"AR",5,12.1,25.1,57.8,6.3,387
"AZ",4,5.7,30.9,59.5,5.8,464
"CA",6.1,6.3,22.6,65.1,4.2,804
"CO",8.2,12.9,27.9,51,5.5,474
"CT",2.3,6.2,23.3,68.2,5.4,410
"DC",1.2,5.7,20.1,73,8.1,234
"DE",1.9,8,22.3,67.7,7.5,277
"FL",1.9,7.7,21.7,68.6,4.4,580
"GA",5.8,9.5,26.7,58.1,4.8,602
"HI",2.1,4,23.2,70.8,7.8,256
"IA",5.6,8.4,37.2,48.8,7.5,251
"ID",9.8,12.2,29.2,48.8,8,266
"IL",3.4,7.8,23.2,65.6,4.5,507
"IN",6.7,11.4,26.7,55.2,5.4,463
"KS",4.6,12.6,32.3,50.6,5.9,435
"KY",5.4,11.1,25.8,57.6,5.2,510
"LA",4.7,7.5,24.5,63.3,6.2,441
"MA",2.5,5.5,26,66,4.6,600
"MD",3,4.2,26.7,66.1,4.7,536
"ME",4.4,9.9,27.6,58.1,6.9,285
"MI",3.8,7,29.9,59.3,5,578
"MN",6,7.4,30.2,56.3,5.3,525
"MO",5.6,10,32.5,51.9,5.3,505
"MS",3.4,7,30.3,59.2,7.3,398
"MT",6.6,11.6,28.8,53,8.4,209
"NC",3.9,9.2,23.6,63.3,4.6,519
"ND",6.4,12.6,39.7,41.4,9,184
"NE",8.9,11.7,35.9,43.5,7.2,305
"NH",2.1,13.4,26.6,57.9,8.2,202
"NJ",1,5.2,23,70.8,4.5,513
"NM",5.6,8.8,20.1,65.4,7.5,313
"NV",3.7,9,30.6,56.7,6.2,435
"NY",1.1,5.1,25.9,67.8,4.6,615
"OH",5.2,9.4,26.4,59,4.7,514
"OK",7.6,9.1,28.7,54.6,5.8,486
"OR",6.2,10.6,24.6,58.6,5.5,471
"PA",8.3,9,26.9,55.8,5,511
"RI",0.6,7.2,21.6,70.5,7.6,255
"SC",4.1,5.8,28.1,62.1,5.7,451
"SD",11.8,15.5,27.1,45.6,10.1,183
"TN",5,10.8,28.2,55.9,5,496
"TX",3.8,6,24.6,65.5,4.4,634
"UT",6.9,12,30.5,50.6,7.6,271
"VA",5,4.9,27.2,62.9,4.7,540
"VT",2,9,31.8,57.2,10.8,129
"WA",3.9,8,27.5,60.6,5.1,488
"WI",7.4,7.8,30.9,54,5.4,449
"WV",2.8,9.9,30.3,57,7.1,371
"WY",12,16.4,32.2,39.5,11.1,141
