In the last week, how closely did you personally follow the health recommendations listed below? - Wearing a face mask when outside of your home 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",14.8,12.1,18.8,54.3,0.9,19344
"AK",18.8,8.6,23.4,49.3,14.3,92
"AL",14.7,14,20.9,50.4,5.8,416
"AR",23.5,16.4,17.7,42.4,6,420
"AZ",20.4,12.6,19.8,47.2,5.6,440
"CA",6.8,6.9,15,71.3,4.6,715
"CO",13.8,12.4,17.7,56,5.6,442
"CT",9.2,9.3,17.3,64.2,6,320
"DC",0.8,4.2,22,73,11.4,101
"DE",10.2,9.5,19.4,60.9,7.5,302
"FL",10.7,13.4,15.2,60.8,5.3,521
"GA",15,11.9,17,56.1,5.3,457
"HI",4.3,3.2,17.7,74.8,6.9,240
"IA",23,18.5,23.7,34.8,5.4,432
"ID",30,17.8,21.9,30.3,6.1,318
"IL",15.4,13.6,19.4,51.6,5.7,468
"IN",17,14.5,18.9,49.7,5.6,451
"KS",21.6,12.8,18.9,46.6,6.1,440
"KY",25.8,14.2,18.4,41.6,5.3,426
"LA",21.6,11.1,20.6,46.8,6.2,414
"MA",4.2,7.9,22.8,65.1,5.1,435
"MD",7.3,5.7,15.9,71.1,5.8,368
"ME",20.6,14.5,18.4,46.4,6.1,319
"MI",12.7,8.7,20.2,58.5,5.1,478
"MN",26.3,12.6,17.6,43.5,5.3,444
"MO",22.5,16,17.5,44.1,5.4,423
"MS",20.8,9.9,16.6,52.8,6.8,376
"MT",25.6,21.3,21,32.1,7.2,213
"NC",20.3,12.5,23.8,43.5,5.1,448
"ND",20.1,28.5,24.3,27.1,10,165
"NE",24.6,12.4,21.8,41.2,6.7,328
"NH",13,9.9,23.1,54,6.5,352
"NJ",2.6,5.5,13.7,78.2,4.4,474
"NM",17.1,12,28.8,42.1,13.1,121
"NV",17.4,14.7,13.1,54.8,6.1,434
"NY",3.4,6,15.1,75.5,4.4,537
"OH",20.5,15.1,19.9,44.5,4.9,472
"OK",16.9,15.5,24.9,42.7,5.8,422
"OR",17.1,15.1,19.1,48.6,5.4,443
"PA",8,9.8,19.6,62.6,4.9,461
"RI",6.1,5.9,16.2,71.9,6.5,293
"SC",21,18.9,21.2,38.8,5.5,428
"SD",21.5,19.3,32.2,27,9,180
"TN",17,14,17.6,51.4,5.5,434
"TX",10.2,10,21.6,58.2,5.4,531
"UT",19.2,20.2,23.9,36.7,5.8,408
"VA",14.4,12,19.6,54,5.2,463
"VT",15.3,8.8,17,58.9,8.9,175
"WA",21.3,13.5,21.4,43.8,6.2,367
"WI",22.8,19.2,19.7,38.3,5.2,433
"WV",16.1,16.4,15.6,51.9,6.3,359
"WY",30.9,19.9,17.7,31.4,10.2,145
