How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Your state government 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",5.6,14.4,48,31.9,0.9,19368
"AK",4.6,15.6,55.7,24.1,14.4,91
"AL",7.8,17.2,52.2,22.9,5.8,419
"AR",3.5,14.8,54.9,26.9,6.1,423
"AZ",5.8,15.2,53.5,25.5,5.6,441
"CA",5.3,12.7,40.3,41.8,5,718
"CO",6.2,14.4,48.3,31.1,5.6,441
"CT",5,15.2,47.1,32.7,6.2,323
"DC",3.5,20.5,32.1,43.9,12.7,100
"DE",2.5,13.9,45.8,37.8,7.7,299
"FL",8.5,20.7,46.9,24,5.4,519
"GA",7.6,16.5,54.1,21.8,5.3,459
"HI",6,27.9,48,18.1,7.9,242
"IA",7.4,20.3,48.6,23.7,5.6,432
"ID",8.9,14.8,56.1,20.2,6.6,318
"IL",8.3,16.1,41.5,34.1,5.6,468
"IN",2.1,12.3,52.2,33.4,5.5,450
"KS",3.7,15.5,48,32.8,6.1,439
"KY",3.6,10.3,39.3,46.8,5.4,426
"LA",8.1,14.3,50,27.6,6.2,416
"MA",2.1,7.1,40.4,50.4,5.3,434
"MD",2,8.8,41.3,47.9,6.4,369
"ME",4.8,8.4,54.5,32.2,6.1,316
"MI",7.9,12.9,43.6,35.6,5.1,479
"MN",5.3,12.7,45.2,36.8,5.3,443
"MO",4.7,15.9,54.9,24.6,5.4,424
"MS",13.1,17.3,48.1,21.5,6.8,381
"MT",4.5,18.1,47.7,29.7,7.7,211
"NC",6.2,14.6,52,27.2,5.1,449
"ND",4,10.3,54.8,30.9,11.1,165
"NE",3.2,15.9,52.1,28.7,6.8,328
"NH",4.3,6.3,55.9,33.6,6.5,351
"NJ",4.1,15.1,46.4,34.4,5.4,475
"NM",7.9,14.8,36.2,41,13.1,120
"NV",4.6,17.3,41.7,36.4,6.1,433
"NY",3.8,13.8,41.5,41,5,537
"OH",2.5,8,45.2,44.3,5,471
"OK",9.7,20.7,53.4,16.2,5.9,423
"OR",6,16.2,47.8,30,5.4,441
"PA",6.7,16.6,50.6,26.1,5,464
"RI",4.3,7.8,44.1,43.8,7.2,295
"SC",8.2,18.6,48.2,24.9,5.6,431
"SD",9.4,20.9,52.6,17.1,9.6,180
"TN",3.9,15.6,51.8,28.8,5.5,434
"TX",3.7,14.4,53.2,28.7,5.4,535
"UT",3.8,14.4,51.8,30,6,409
"VA",8.2,13.8,45.7,32.3,5.2,466
"VT",3,7.8,44.5,44.8,9,175
"WA",3.8,10.1,50.4,35.7,6.3,366
"WI",6.4,15.8,49.5,28.4,5.4,434
"WV",4.7,11,56.9,27.5,6.2,360
"WY",2.7,11.3,66.6,19.4,10.4,145
