How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Congress 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",12.9,31.9,44.2,11,0.9,19357
"AK",14.3,37.1,37,11.6,14,91
"AL",12.8,29.1,45.5,12.6,5.7,418
"AR",14.9,30.2,43.2,11.6,6,423
"AZ",15.9,31.6,42,10.5,5.6,439
"CA",13.5,30.3,42.8,13.3,5,713
"CO",20.2,36,35.1,8.8,5.4,442
"CT",9.9,35.4,46.9,7.8,6.2,322
"DC",8.9,33.5,48.3,9.4,12.8,101
"DE",13.4,29,46.6,11,7.7,301
"FL",14.3,27,47.1,11.5,5.4,520
"GA",17,26,45.6,11.4,5.4,458
"HI",14.2,32.8,42.8,10.2,7.8,242
"IA",10.6,38.3,44.6,6.6,5.6,432
"ID",14.7,35.6,41,8.7,6.6,316
"IL",13.6,35.7,41.2,9.5,5.6,469
"IN",10.8,29.6,48.9,10.7,5.5,451
"KS",13.8,33.7,39.6,12.8,6,440
"KY",11.6,34,40.9,13.5,5.3,425
"LA",15.2,31.1,41,12.6,6.1,418
"MA",7.5,31.7,46.9,13.9,5.3,433
"MD",13.1,29.4,41.1,16.4,6.3,368
"ME",14.7,31.9,47.3,6.1,6.1,317
"MI",11.4,31,47.3,10.2,5.2,479
"MN",11.5,32.4,46.8,9.3,5.3,444
"MO",13.7,34.8,40.8,10.8,5.4,421
"MS",17.6,32.7,36.8,12.9,6.5,382
"MT",13.7,37,41.1,8.2,7.6,212
"NC",13.7,30.6,45.9,9.8,5.1,448
"ND",21.2,26,43.9,8.9,11,165
"NE",9,40.3,42.4,8.3,6.8,327
"NH",14.3,34.1,41.1,10.4,6.4,352
"NJ",13.6,30.8,45.9,9.8,5.4,473
"NM",21.6,30.3,37.8,10.2,12.9,120
"NV",15.6,34,38.9,11.5,6,432
"NY",11.3,33.9,44,10.8,5,536
"OH",9.1,31.7,47.4,11.8,5,471
"OK",16.1,33.8,41,9.2,5.8,424
"OR",14.2,34.8,44.8,6.3,5.4,442
"PA",12.2,35.2,43.1,9.5,5,463
"RI",8.6,27.6,47.3,16.5,7.2,296
"SC",11.5,37.1,40.2,11.2,5.5,430
"SD",14.2,33.8,42.9,9.1,9.5,179
"TN",12.8,29.4,45.8,12,5.5,435
"TX",10.1,29.3,43.5,17.1,5.4,534
"UT",11.3,37.6,41.5,9.6,5.9,409
"VA",16.9,28.7,42.2,12.2,5.2,466
"VT",7.6,32.3,54.1,6,9,176
"WA",9.7,35.5,45.9,8.8,6.2,365
"WI",14.3,31.9,46.8,7.1,5.3,434
"WV",10.2,35.8,45.8,8.3,6.3,358
"WY",16.4,34.5,42.8,6.4,10.9,145
