How concerned, if at all, do you currently feel about the following: - Being able to receive health care 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",17.1,23,31.6,23.6,4.7,0.8,19356
"AK",12.4,24.5,36.4,14.4,12.2,13.8,92
"AL",17.4,24.1,31.6,24.3,2.6,5.4,416
"AR",17.7,27.1,32.5,19,3.7,5.7,421
"AZ",18.4,22.6,25.7,25.7,7.6,4.9,441
"CA",16.1,20.3,29.6,27.8,6.2,4.6,717
"CO",20.7,27.4,30.5,18.2,3.3,5.2,440
"CT",17.1,25.1,30.4,23.1,4.3,5.7,322
"DC",14.9,15,33,33.9,3.2,12.5,97
"DE",17.3,15.3,36.5,26,4.8,7.4,302
"FL",21,18.9,30,24.1,6,5,517
"GA",14.5,20.7,36.2,25.3,3.2,5.2,459
"HI",14.5,21.3,30.7,31.4,2.1,7.3,242
"IA",19.8,27.9,30.6,16.7,5.1,5.2,430
"ID",16.9,31.1,29.8,18.3,3.8,6.2,317
"IL",16.5,23.5,33.7,22.9,3.5,5.4,466
"IN",15.4,28,32.1,21.1,3.4,5.2,451
"KS",21.4,25.7,29.4,21,2.5,5.6,443
"KY",16.6,22.5,32.9,23.7,4.3,5.1,425
"LA",17.1,22.4,31,24.7,4.8,5.7,415
"MA",16.1,23.6,34.4,21.9,4,5,437
"MD",14.9,21.1,29,30.2,4.8,5.9,367
"ME",18.9,27.9,32.2,16.8,4.3,5.7,321
"MI",17.9,24.1,27,24.6,6.4,4.6,478
"MN",22.2,24.4,35.4,15.7,2.4,5.1,444
"MO",25.6,20.7,30.7,18.1,4.9,5,423
"MS",15.6,19.8,34.1,23.2,7.3,6.4,382
"MT",19.5,31.7,24.4,19.3,5.1,7.1,214
"NC",18.9,22.1,33.1,21.3,4.8,4.8,448
"ND",23.3,32.2,33.3,6.3,4.9,10.5,164
"NE",22,24.8,28.8,20.8,3.6,6.2,329
"NH",16.8,24.5,36.2,18.4,4.1,6.3,349
"NJ",14.6,22.7,34.6,24.6,3.5,5.1,473
"NM",20.2,21,25.7,29,4.1,12.1,118
"NV",14.2,21,31.4,29.5,3.9,5.7,430
"NY",11.3,19.9,33.3,28.6,6.9,4.8,534
"OH",20.2,24.8,27.7,22.3,5.1,4.4,473
"OK",19.1,21.9,29,23.7,6.4,5.3,425
"OR",16.4,29.3,30.1,18,6,5,440
"PA",15.3,24.8,35.9,20.6,3.4,4.8,466
"RI",17.7,24.9,29.8,20.4,7.2,6.6,295
"SC",17.6,25,32.1,21.3,4,5.3,432
"SD",18.9,29.1,26.4,19.5,6,8.7,181
"TN",16.2,24.3,29.4,25.2,4.9,5.1,434
"TX",15.7,17.4,28.2,34.3,4.5,5.2,530
"UT",19,28.7,30.3,16.9,5.1,5.5,409
"VA",17.4,21.9,32.6,24.4,3.6,4.9,467
"VT",18.1,20.6,37,20.1,4.2,8.7,176
"WA",16.2,23.4,36.3,21.2,2.9,6,366
"WI",21.2,27.1,34,15.3,2.4,5.1,436
"WV",15.3,21.6,34.7,24.1,4.4,6,357
"WY",25,31.5,29.9,11.1,2.5,10.2,145
