Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Your state government 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",16.2,72.7,11.1,0.8,19202
"AK",23.4,72.6,4.1,12.9,91
"AL",27.8,66.5,5.7,5.5,410
"AR",19.6,70.4,10,5.6,417
"AZ",23.1,65.5,11.4,5.4,436
"CA",9.4,76.9,13.7,4.3,708
"CO",8.9,75.4,15.7,4.8,439
"CT",9,80.1,10.8,5,317
"DC",22,70,8,11.9,97
"DE",10.5,82,7.5,5.9,299
"FL",35.1,59.5,5.4,5.4,511
"GA",26.7,65.4,7.9,5.1,455
"HI",31.1,53,15.9,7.9,240
"IA",31.6,59.9,8.5,5.5,428
"ID",14.3,68,17.7,6.2,315
"IL",8.8,75.5,15.8,4.9,465
"IN",11.3,79.9,8.8,4.5,451
"KS",14.2,72.3,13.5,5.5,440
"KY",7.2,82,10.9,4.2,422
"LA",12.1,76.9,11,5.3,407
"MA",9,85.2,5.8,3.8,427
"MD",6.8,80.3,12.8,5.1,365
"ME",7.5,80.7,11.8,4.8,319
"MI",9,67.8,23.1,4.8,475
"MN",6.1,78.4,15.5,4.4,444
"MO",24.5,64,11.6,5.3,420
"MS",27.1,66.8,6.1,6.4,375
"MT",9.9,74,16.1,6.8,209
"NC",13.8,72.5,13.7,4.6,441
"ND",12.2,79.9,7.9,8.9,163
"NE",29.1,64.5,6.4,6.6,326
"NH",11,81.3,7.7,5.1,346
"NJ",8.9,80,11.1,4.3,468
"NM",8.7,75.2,16.1,11.4,119
"NV",11,71.5,17.5,5.6,434
"NY",11.2,78.5,10.3,4.1,533
"OH",6,83.8,10.2,3.7,465
"OK",30.6,61.4,8,5.7,421
"OR",12.1,74.4,13.5,4.7,438
"PA",13.6,68.5,17.9,4.7,464
"RI",8.8,78.8,12.5,5.9,294
"SC",30.8,61.8,7.4,5.5,429
"SD",38.2,55,6.7,9.6,177
"TN",19.4,74.9,5.7,4.8,428
"TX",23.3,69.4,7.3,5,525
"UT",20.2,67.2,12.6,5.6,407
"VA",11.7,72.5,15.8,4.7,467
"VT",2.3,88.3,9.4,5.8,174
"WA",8.3,79.5,12.2,5,367
"WI",6.7,66.5,26.9,5.1,432
"WV",13.8,78.2,8,5.2,359
"WY",14.8,68,17.1,10.3,143
