I feel well-informed about government guidelines with regard to the outbreak. 
"","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Error Margin","N"
"National",3,6.5,13.5,42.7,34.3,0.9,19418
"AK",4.5,6.9,13.2,26.5,48.9,14.3,92
"AL",2.5,6.7,10.9,44.3,35.6,5.7,419
"AR",4.3,5.2,10.9,50.6,29,6.1,423
"AZ",1.8,8.3,13,40,37.1,5.5,439
"CA",2.9,6.8,14.4,39,36.9,4.9,717
"CO",5.2,6.5,14.6,42.3,31.5,5.5,441
"CT",1.7,5.8,18.4,42.4,31.7,6.1,321
"DC",2,6.9,19.2,41.8,30.2,12.6,102
"DE",3.2,6.2,11.8,44.9,33.8,7.6,304
"FL",2.3,5.3,10.4,40.1,41.9,5.3,521
"GA",3.1,7.8,11.1,43.1,34.8,5.3,461
"HI",5,6.1,18.2,40,30.7,7.7,242
"IA",3.3,8,14.1,39.8,34.8,5.5,434
"ID",5.3,6.9,14.1,42.5,31.2,6.6,320
"IL",4.9,6.9,13.5,41.9,32.9,5.6,470
"IN",2.8,8.5,14.7,36.9,37.2,5.4,453
"KS",2.7,9.1,15.6,41.7,30.8,6.1,442
"KY",2.8,6.5,10.3,42,38.4,5.4,426
"LA",2.3,5.9,15,38.2,38.5,6,416
"MA",1.8,5.8,11.9,47.2,33.3,5.3,440
"MD",1.7,5.9,12.9,44,35.5,6.3,368
"ME",4.1,6.6,9.1,46.9,33.3,6.1,321
"MI",3.2,8.3,12,44.1,32.4,5.1,482
"MN",2.2,5,13.6,47.4,31.8,5.3,445
"MO",3,8.1,12.5,44,32.4,5.4,423
"MS",4.6,8.1,11.7,44.5,31.1,6.7,379
"MT",3.8,9.9,15.3,38.9,32,7.5,213
"NC",2.5,5.7,14.4,41.2,36.2,5,447
"ND",1,8.2,12.9,51.2,26.7,11.1,164
"NE",2.8,9.4,11.7,40.7,35.4,6.7,329
"NH",2.6,7.7,13.9,46.1,29.7,6.5,352
"NJ",2.2,5.4,17.1,39.5,35.7,5.3,474
"NM",3.9,11.5,4.9,40.4,39.3,13,121
"NV",2.6,4.8,14.8,42,35.9,6.1,436
"NY",2.1,4.8,9.4,44.3,39.4,5,539
"OH",2.5,3.9,13.9,46.5,33.2,4.9,476
"OK",5,9.8,13.4,41.2,30.4,5.8,425
"OR",3.7,7.3,14.6,52.1,22.3,5.4,442
"PA",3.8,4.5,15.6,43.8,32.2,5,466
"RI",3.2,4.1,13.3,43.4,36,7.2,297
"SC",2.4,7.6,16.7,38.8,34.5,5.5,432
"SD",2.5,5,20.8,41.1,30.6,9.4,181
"TN",3.7,5.4,13.6,47,30.3,5.5,433
"TX",3,5.7,12.9,43.3,35.1,5.4,535
"UT",1.5,8.8,15.4,43.8,30.5,5.9,410
"VA",2.1,4.6,14,39.1,40.3,5.1,469
"VT",2.3,5.5,11.1,49.4,31.6,9,176
"WA",2.2,10.1,14.6,40.5,32.6,6.1,366
"WI",3.9,8.7,15.2,41.3,30.8,5.3,435
"WV",1.6,3.5,11.9,42.7,40.3,6.3,354
"WY",1.2,4,16.1,49.6,29.1,11,145
