In the last week, how closely did you personally follow the health recommendations listed below? - Disinfecting often-touched surfaces 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",2.9,9.2,26.8,61.2,0.9,19336
"AK",0.4,4.6,29.1,65.8,13.6,92
"AL",2,7.2,23.4,67.4,5.4,417
"AR",1.6,11.3,29.7,57.3,6.1,418
"AZ",3.1,10.2,27.2,59.5,5.5,440
"CA",4.4,11.5,26.3,57.7,5,709
"CO",3,12.2,26.6,58.1,5.5,443
"CT",2.6,12.1,21.2,64.2,6,320
"DC",1.4,10.8,21.7,66.1,12.1,102
"DE",1.9,8.8,26.5,62.7,7.4,302
"FL",3,10.6,23.9,62.5,5.3,518
"GA",2.7,6.5,28.2,62.6,5.2,456
"HI",1.4,10.7,29.9,58.1,7.8,241
"IA",4.5,13.3,30.9,51.3,5.6,431
"ID",4.7,18.3,28,49.1,6.6,319
"IL",3.6,8.2,24.8,63.4,5.5,468
"IN",3,8.3,27.6,61.1,5.4,450
"KS",1.7,6.1,37.5,54.8,6.1,440
"KY",2,9.2,29.3,59.5,5.3,424
"LA",3.6,5,26.4,65,5.9,415
"MA",1.6,9,24.4,65,5.1,436
"MD",3,6.7,26.7,63.6,6.2,366
"ME",4.7,7.3,30.1,57.9,6.1,318
"MI",1.9,10.2,29.2,58.6,5.1,478
"MN",4.6,12.3,27.9,55.3,5.3,444
"MO",5.1,9,25.5,60.4,5.3,425
"MS",4.6,6.4,26.3,62.7,6.6,379
"MT",3.1,12.4,30.8,53.6,7.6,214
"NC",2.2,8.1,25.7,64,4.9,448
"ND",2,11.1,39.6,47.4,11.1,165
"NE",2.4,8.4,27.4,61.7,6.7,327
"NH",3.1,8.3,34.4,54.3,6.5,351
"NJ",2.9,8.5,21,67.6,5,474
"NM",4.1,7,25.8,63.1,12.8,121
"NV",2,7.9,29.9,60.1,6.1,433
"NY",1.6,6.1,27.1,65.1,4.8,535
"OH",3.7,7.7,24.8,63.8,4.8,468
"OK",4.3,8.6,27.1,60,5.8,421
"OR",3,10.3,30,56.7,5.3,443
"PA",2.4,8.6,27.5,61.5,4.9,464
"RI",4.6,12.2,24.9,58.3,7.1,295
"SC",3.2,10.4,24.7,61.7,5.5,432
"SD",2.3,11.6,30.3,55.7,9.6,179
"TN",2.6,7.7,24,65.7,5.3,433
"TX",1.1,7.6,22.3,69,5.1,527
"UT",2.8,11.7,24.5,61,5.8,408
"VA",1.8,9.3,25.1,63.8,5,466
"VT",4.9,8.3,22.5,64.3,8.6,176
"WA",2.7,12.9,31.7,52.7,6.2,367
"WI",3.5,12.5,29.8,54.2,5.4,432
"WV",4.6,8.4,26.7,60.4,6.2,361
"WY",4,14.5,28.7,52.8,11,145
