How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Your city government 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",4.7,14.9,53.8,26.6,0.9,19399
"AK",3.9,11.6,48.8,35.6,14.4,91
"AL",6.5,16.2,57.5,19.7,5.7,419
"AR",3.8,16.9,57,22.3,6,423
"AZ",3.8,16.4,58.3,21.6,5.6,441
"CA",3.8,14.9,49.3,31.9,5,718
"CO",5.1,14.2,55,25.7,5.6,441
"CT",3.6,13.2,52.3,30.8,6.2,321
"DC",4.9,18.3,43.7,33.1,12.7,101
"DE",3.1,12.4,56.2,28.3,7.6,301
"FL",5.6,15.3,55.4,23.7,5.4,520
"GA",6.5,12.7,56.9,23.9,5.3,459
"HI",5.4,24,53.2,17.4,7.9,241
"IA",4.5,20.9,51.9,22.7,5.6,433
"ID",8,16.4,52.6,23,6.6,319
"IL",6.1,12.4,52.2,29.2,5.7,467
"IN",2.1,13.3,58.2,26.4,5.5,451
"KS",4.3,14.2,50.9,30.6,6.1,441
"KY",3.3,12.3,53.9,30.5,5.4,426
"LA",7.7,20.2,51.5,20.6,6.2,417
"MA",2.2,8.9,50.8,38.1,5.3,436
"MD",3.3,13.4,50.7,32.6,6.4,369
"ME",2.9,12.9,59,25.2,6,319
"MI",5.4,14,54,26.7,5.2,479
"MN",4,13.8,55.5,26.6,5.3,444
"MO",5.7,13.7,55.6,25,5.4,424
"MS",9.7,15.3,52.8,22.1,6.7,383
"MT",5.9,18.1,54.1,21.9,7.7,212
"NC",5.3,15,58,21.7,5,449
"ND",4.5,16.5,54.9,24.1,11.1,165
"NE",2.8,13.6,52.2,31.4,6.8,329
"NH",2.3,13.5,55.5,28.7,6.5,352
"NJ",2.5,15.5,54,28.1,5.4,474
"NM",8.6,15.1,42.9,33.5,13.1,121
"NV",4.6,18.4,52.2,24.7,6.2,434
"NY",3.4,11.9,49.4,35.3,5,540
"OH",3,13,53.2,30.7,5,473
"OK",7,19,55.4,18.6,5.9,423
"OR",4.8,17.1,55.7,22.4,5.4,443
"PA",4.9,19.7,56,19.4,5,465
"RI",4.5,10.8,51.6,33.1,7.2,296
"SC",5.7,19.3,53.9,21.1,5.6,430
"SD",5.9,15.3,58.7,20.1,9.5,179
"TN",4.8,14.8,54.1,26.3,5.5,436
"TX",2.9,18.3,53.2,25.7,5.4,535
"UT",4,12.4,57,26.6,5.9,409
"VA",5.7,14,54.7,25.6,5.2,468
"VT",4,9.1,56.6,30.2,8.9,175
"WA",2.4,8.3,60,29.3,6.1,367
"WI",2.4,12.3,59.4,25.9,5.2,436
"WV",8.1,17.6,53.5,20.9,6.3,359
"WY",6.4,13.7,60.5,19.4,10.7,145
