In the last 24 hours, have you been in a room (or another enclosed space) with people who were not members of your household? This might have been at a social gathering, a work meeting, or another type of event. 
"","No, I have not","Yes, with 1-2 other people","Yes, with 3-4 other people","Yes, with 5-6 other people","Yes, with 7-8 other people","Yes, with 9-10 other people","Yes, with 11-50 other people","Yes, with 51-100 other people","Yes, with over 100 other people","Error Margin","N"
"National",74.3,13.1,5.5,2.6,1.1,1.3,1.4,0.4,0.4,0.8,19449
"AK",66,21.5,5.8,0.7,2.4,2,1.5,0,0,13.5,92
"AL",68.5,17.5,5.8,3.7,0.3,1.8,1.2,0.3,0.7,5.3,420
"AR",69.2,14.5,5.6,3.3,1.6,3.2,1.7,0.2,0.9,5.6,424
"AZ",67.8,14.2,5.3,3.4,2.2,3.4,1.3,0.4,2.1,5.3,442
"CA",79.3,10.7,4.3,1.9,0.8,1.2,1.4,0.2,0.2,4.1,714
"CO",77.3,11.9,5.2,2.5,0.9,0.8,1,0.6,0,4.7,442
"CT",78.7,12.4,4,2,0.5,1,0,1.1,0.5,5.1,320
"DC",72.3,13.2,7.6,3.1,2.1,1.5,0.2,0,0,11.4,102
"DE",74.1,10.1,8.8,1.9,2.7,1.1,0.8,0.1,0.4,6.8,302
"FL",80.8,9.6,4.4,2.1,0.9,1,0.8,0.2,0.2,4.3,520
"GA",77.3,12.2,3.4,3.1,1.3,1.1,0.7,0.4,0.5,4.5,462
"HI",72,12.1,4.6,4.6,1.9,1.6,2.2,0,1,7.1,242
"IA",69,14,9.9,3,1.5,0.6,1,0.5,0.3,5.2,436
"ID",71.6,12.4,9.1,3.1,0.3,1.2,1.8,0.4,0.3,6,320
"IL",79.7,11.3,2.4,2.3,0.8,1.1,1.7,0.4,0.3,4.6,469
"IN",73.6,12.3,5.1,4,1.3,0.8,1.5,0.1,1.2,4.9,454
"KS",72.1,14.4,5.8,1.8,1,1.8,2.2,0.9,0,5.5,444
"KY",70.6,16.8,6.6,2.5,1.1,0.8,1.6,0.1,0,4.9,426
"LA",71.5,12.7,8.1,3.3,1.1,1.1,2,0,0.2,5.6,417
"MA",77.6,11.3,3.7,2.6,1.9,1.7,1,0,0.1,4.4,440
"MD",78.8,12,5.5,2,0.3,0.3,0.9,0.2,0,5.2,367
"ME",72.5,16.3,5.7,1.9,0.7,1,1.4,0.6,0,5.5,321
"MI",80.4,11.3,4.5,1.3,0.6,0.4,0.8,0.1,0.6,4.1,481
"MN",74.8,11.8,6.6,2.2,0.4,2.7,1,0.5,0,4.6,444
"MO",71.2,12.7,5.3,6,0.4,1.6,1.3,0.6,1,4.9,424
"MS",70.9,13.4,6.3,4,0.8,1.5,2.1,0,1.1,6.1,383
"MT",61,15.7,10.9,6.1,2.9,1.4,2.1,0,0,7.5,214
"NC",76.8,13.2,3.6,2,0.6,1,2.5,0,0.3,4.3,450
"ND",60.6,13.2,12,5.8,0,5.3,2.6,0,0.4,10.9,165
"NE",64.6,13.9,12.1,3.9,1.3,1.1,2.5,0.5,0.2,6.5,329
"NH",71.1,13.4,5.8,4.6,0.8,0.3,3.4,0.4,0.2,5.9,352
"NJ",79.6,9.8,4.3,2.5,1.5,0.9,1.3,0.2,0,4.3,474
"NM",64.5,14.4,3.5,4.8,4.5,7,1,0,0.4,12.7,121
"NV",79.9,8.4,5.2,2.3,0.3,1.7,1.1,0.6,0.5,4.9,435
"NY",79.1,11.7,4,1.8,1.3,0.1,1.7,0.3,0.1,4.1,541
"OH",76.4,11.2,5,3.3,0.8,1.4,1.3,0.4,0.2,4.2,477
"OK",64.6,17.1,9.1,4.2,0.3,1.5,1.8,1.3,0.2,5.6,424
"OR",73.8,16.8,3.7,1.6,1,0.2,1.2,1.3,0.4,4.8,442
"PA",78,10.6,5.8,2.3,0.5,0.1,2,0.3,0.3,4.2,465
"RI",78.7,14,1.5,2,2.7,0.3,0.2,0.2,0.5,5.9,297
"SC",70.9,15.4,6.8,2.3,0.8,1.5,1.1,0.4,0.7,5.1,434
"SD",60.4,23.5,6.5,4.9,0.7,1,1.7,1.1,0,9.4,181
"TN",71.5,14.2,7.3,1.4,2.2,1.3,1.4,0,0.8,5,436
"TX",77.6,10,6,2.5,0.5,1.1,0.9,0.8,0.6,4.5,537
"UT",69.2,14.8,6,4.1,0.9,2.3,2.7,0.1,0,5.5,410
"VA",75.9,15.9,3.9,1.5,0.4,1.7,0.5,0,0.2,4.4,470
"VT",75.9,10.1,6.9,3.4,2,1.6,0.2,0,0,7.7,176
"WA",81.3,9.9,3.7,1.3,0.9,0.4,1,0.2,1.3,4.9,367
"WI",72.6,14.9,5.8,3.1,1,1,1.3,0.3,0,4.8,436
"WV",68.7,16.9,5.1,2.9,1.8,2,2,0.6,0,5.8,363
"WY",59.6,26,5.5,3.1,1.1,3.7,0.6,0,0.4,10.8,145
