How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The news media 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",18.1,28.7,41.2,12,0.9,19353
"AK",25.5,30.3,33.1,11.1,13.6,91
"AL",22.4,29.9,36.7,11,5.6,417
"AR",20.1,28,37.9,13.9,5.9,421
"AZ",20.8,29.5,39.7,10,5.5,439
"CA",16,27.7,41.6,14.7,5,717
"CO",23.6,30.4,39,7.1,5.5,441
"CT",15.1,29.2,42.8,12.9,6.2,320
"DC",7.4,20.9,54.9,16.7,12.9,100
"DE",15,28.8,42.5,13.7,7.6,301
"FL",16.7,25.5,38.2,19.6,5.3,521
"GA",19.6,26.9,39.8,13.7,5.3,459
"HI",13.4,26.7,50,9.9,7.9,241
"IA",18.2,33.1,38.4,10.3,5.5,433
"ID",27.1,31,35.9,6,6.4,319
"IL",19.5,25.8,40.4,14.3,5.6,465
"IN",19.9,29.8,40.6,9.7,5.5,451
"KS",21.4,28.7,36.1,13.8,5.9,440
"KY",19.5,29.5,40.9,10.1,5.3,425
"LA",21.5,27.8,42,8.8,6.1,416
"MA",10.4,26.5,46.4,16.7,5.3,437
"MD",14.9,24.8,43,17.3,6.3,369
"ME",18.9,29,44,8.1,6.1,318
"MI",15.7,29.2,43,12.2,5.1,478
"MN",15.9,31.5,44.6,7.9,5.3,444
"MO",18.4,31.8,37,12.8,5.3,423
"MS",22.4,24.8,43.1,9.7,6.7,380
"MT",22.9,41.5,28.1,7.5,7.6,211
"NC",20,29.5,40.7,9.8,5,448
"ND",28.5,36.5,30.5,4.5,10.7,165
"NE",20.1,39.6,33.5,6.8,6.7,329
"NH",19,30.4,38.8,11.7,6.4,351
"NJ",18,27.5,39.4,15.1,5.3,473
"NM",20.5,24.9,43.7,11,13.1,121
"NV",18.3,31.2,40.9,9.6,6.1,432
"NY",12,24.3,46.8,16.9,5,537
"OH",17.2,27.9,43.3,11.5,4.9,472
"OK",23,30,38,9,5.7,424
"OR",21.9,25.8,42.7,9.6,5.3,443
"PA",21.1,28.3,39.7,10.9,4.9,462
"RI",15.3,27.2,43,14.6,7.1,296
"SC",17.2,31,39.7,12,5.5,429
"SD",22.6,40.8,31.6,5.1,9.5,178
"TN",16.8,30.6,40.2,12.3,5.4,434
"TX",16.4,27.2,44.8,11.7,5.4,531
"UT",19.1,32.8,40.4,7.7,5.9,410
"VA",19.3,26.4,40.6,13.7,5.1,466
"VT",16.1,29.4,44.5,10.1,8.9,176
"WA",11.8,29.6,43.9,14.8,6.2,366
"WI",20.2,27.8,42.1,9.9,5.3,433
"WV",21.1,35.4,34.8,8.7,6.1,355
"WY",36.5,34.2,25.1,4.1,10.6,145
