Gender recoded 
"","Male","Female","Error Margin","N"
"National",47.8,52.2,0.9,19489
"AK",46.8,53.2,14.3,92
"AL",45.5,54.5,5.7,420
"AR",45.6,54.4,6,425
"AZ",49.7,50.3,5.6,442
"CA",49.2,50.8,5,720
"CO",48.7,51.3,5.6,443
"CT",47.6,52.4,6.2,323
"DC",42.7,57.3,12.6,102
"DE",46.3,53.7,7.7,304
"FL",45.6,54.4,5.4,522
"GA",46.8,53.2,5.3,462
"HI",46.3,53.7,7.9,242
"IA",48.3,51.7,5.6,436
"ID",46.2,53.8,6.6,320
"IL",48.2,51.8,5.7,470
"IN",47.5,52.5,5.5,454
"KS",47.7,52.3,6.1,444
"KY",47.5,52.5,5.4,426
"LA",47.8,52.2,6.2,418
"MA",46.3,53.7,5.3,441
"MD",46.8,53.2,6.4,369
"ME",47.4,52.6,6.1,322
"MI",49.2,50.8,5.1,482
"MN",49.1,50.9,5.3,445
"MO",47.2,52.8,5.4,425
"MS",43.7,56.3,6.7,383
"MT",49.4,50.6,7.7,214
"NC",48.7,51.3,5.1,450
"ND",50.2,49.8,11.1,165
"NE",46.7,53.3,6.8,329
"NH",48.4,51.6,6.5,352
"NJ",47.8,52.2,5.4,476
"NM",45.5,54.5,13.2,121
"NV",48,52,6.1,437
"NY",46.3,53.7,5,542
"OH",47.4,52.6,4.9,477
"OK",48.7,51.3,5.9,426
"OR",47.9,52.1,5.4,443
"PA",48.1,51.9,5,467
"RI",46.2,53.8,7.2,298
"SC",47.5,52.5,5.6,434
"SD",47,53,9.5,182
"TN",45.2,54.8,5.5,436
"TX",48.3,51.7,5.4,538
"UT",48.2,51.8,6,411
"VA",47.9,52.1,5.2,471
"VT",48,52,9,176
"WA",49.8,50.2,6.2,368
"WI",48.5,51.5,5.3,436
"WV",47.3,52.7,6.3,363
"WY",49.9,50.1,11,145
