Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Ordinary people across the country 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",50.5,33.2,16.3,0.9,19196
"AK",42.5,30.6,26.9,14.3,91
"AL",50.4,33.7,15.9,5.8,412
"AR",40.3,36.2,23.5,6,417
"AZ",42.4,30.6,27.1,5.6,437
"CA",50.9,34.6,14.5,5.1,706
"CO",46.5,31.5,22,5.6,437
"CT",49.4,34.9,15.7,6.2,318
"DC",58.5,27.3,14.2,13,95
"DE",54,31.9,14.2,7.7,299
"FL",43.7,43.5,12.8,5.4,513
"GA",50.6,30.6,18.8,5.4,457
"HI",47.5,37.6,14.9,7.9,241
"IA",52.9,32.5,14.6,5.6,427
"ID",42,28.9,29.2,6.6,313
"IL",53.2,33.6,13.2,5.7,465
"IN",46.5,35.9,17.6,5.6,449
"KS",51.8,29.4,18.8,6.1,437
"KY",54.4,30.3,15.3,5.4,424
"LA",48.1,35.5,16.4,6.2,410
"MA",53.2,36.8,10,5.3,429
"MD",54.8,32.7,12.5,6.4,365
"ME",50,34.3,15.7,6.1,319
"MI",51.1,35.6,13.3,5.2,475
"MN",48,34.1,17.8,5.3,442
"MO",47.1,33.3,19.6,5.5,419
"MS",52.3,29.2,18.4,6.8,377
"MT",36.3,38.2,25.4,7.5,209
"NC",51.7,29.3,19,5.2,440
"ND",39.7,39.1,21.2,11,163
"NE",51.2,28,20.8,6.8,326
"NH",55,29.4,15.6,6.5,347
"NJ",48.9,39.3,11.8,5.4,469
"NM",59.4,24,16.5,13,119
"NV",52.2,29.1,18.6,6.2,430
"NY",49.4,36.8,13.7,5,535
"OH",48.4,35,16.6,5,464
"OK",41.6,37.1,21.3,5.8,422
"OR",52.7,29.9,17.4,5.4,440
"PA",55.7,28,16.3,5,463
"RI",55.7,33.5,10.8,7.2,294
"SC",52.3,29.1,18.6,5.7,426
"SD",37.8,34.7,27.6,9.4,178
"TN",53.5,33,13.5,5.6,430
"TX",50.8,32.4,16.8,5.5,525
"UT",50.7,27.4,21.9,6,407
"VA",50.2,35.4,14.4,5.2,464
"VT",48.8,36.9,14.3,9.1,173
"WA",52.1,35.7,12.2,6.2,366
"WI",50,33.7,16.4,5.3,433
"WV",58.1,24.2,17.7,6.3,356
"WY",42,22.1,35.9,10.9,143
