How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Scientists and researchers 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",1.8,5.2,34.9,58.1,0.9,19370
"AK",0.4,4.3,42.7,52.5,14.4,91
"AL",1.6,8,39.8,50.6,5.8,418
"AR",2.5,5.5,40.3,51.8,6.1,419
"AZ",0.7,7.3,38,54,5.6,440
"CA",2.1,2.7,33,62.2,4.9,718
"CO",1.6,4.2,39.5,54.7,5.6,440
"CT",2.6,3.5,29.7,64.2,5.9,322
"DC",0.8,6.6,20.5,72.1,11.5,101
"DE",1,1.7,33.5,63.8,7.4,302
"FL",2.4,6,33.6,58,5.4,520
"GA",2.1,6.5,36.6,54.8,5.3,459
"HI",2.3,7.9,32.4,57.4,7.8,242
"IA",1.7,4.5,37.8,56.1,5.6,433
"ID",3.1,6.3,35.4,55.1,6.6,316
"IL",3,4.5,36,56.4,5.6,468
"IN",1.2,4.3,31.9,62.6,5.4,451
"KS",2.6,4,31.4,61.9,5.9,442
"KY",0.8,5.9,40,53.3,5.4,426
"LA",2.9,7.8,36.4,53,6.2,417
"MA",0.3,4.8,28,66.9,5,437
"MD",0.9,7.1,34.3,57.7,6.3,368
"ME",0.7,6,34,59.3,6,317
"MI",2.8,5.6,28.5,63.1,5,479
"MN",1.3,7.3,32,59.4,5.2,444
"MO",2.2,7.7,32.2,57.9,5.4,421
"MS",4.9,5.9,42.8,46.3,6.7,383
"MT",0.8,4.2,39.4,55.6,7.6,213
"NC",3.3,5.7,36.5,54.5,5.1,446
"ND",0,3,41.3,55.7,11,165
"NE",0.6,2.4,36,61,6.7,327
"NH",0.2,4,31.9,64,6.3,352
"NJ",0.8,7.7,29.8,61.7,5.2,474
"NM",1.7,0.6,33.5,64.2,12.7,121
"NV",2.1,3.8,32.9,61.2,6,431
"NY",1,3.5,37.4,58.1,5,539
"OH",2.3,4.7,34.4,58.6,4.9,473
"OK",0.8,8.3,41.5,49.3,5.9,421
"OR",1.5,4,37,57.5,5.3,443
"PA",2.5,3.8,39.3,54.4,5,464
"RI",1.4,4.8,34.2,59.7,7.1,295
"SC",1.8,4.6,41.2,52.4,5.6,431
"SD",0.4,5.2,35,59.4,9.5,178
"TN",1.9,3.3,37.6,57.1,5.5,434
"TX",1.8,5.2,36.3,56.7,5.4,534
"UT",1,6,35.3,57.6,5.9,409
"VA",1.9,6.4,34.6,57.1,5.2,465
"VT",0,5.3,28.9,65.7,8.5,176
"WA",0.4,3.9,33.6,62.1,6.1,366
"WI",0.7,6.1,33.2,59.9,5.2,436
"WV",1.8,7,40.6,50.6,6.3,358
"WY",3,7.2,43.3,46.5,10.9,145
