Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - The federal government 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",39.9,52.6,7.5,0.9,19237
"AK",32.4,61.9,5.7,13.9,92
"AL",29.3,64.4,6.3,5.6,411
"AR",30.2,58.5,11.3,6,417
"AZ",37.8,49.7,12.5,5.7,439
"CA",45.5,48.9,5.6,5.1,707
"CO",41.2,49.1,9.7,5.6,440
"CT",47.4,46.1,6.4,6.2,318
"DC",62.3,29.2,8.5,12.7,96
"DE",45.5,51,3.4,7.7,300
"FL",40,52.8,7.2,5.4,515
"GA",39,54,7,5.4,459
"HI",45.6,43.5,10.9,7.9,241
"IA",41.3,49.2,9.5,5.7,429
"ID",35.9,49.7,14.4,6.7,316
"IL",44.7,48.1,7.1,5.7,466
"IN",34.3,58.8,6.9,5.5,449
"KS",37,54.3,8.7,6.1,437
"KY",34.9,59.1,6,5.4,424
"LA",32,58.8,9.2,6.2,407
"MA",44.7,50.4,4.8,5.3,434
"MD",40.2,51,8.7,6.4,365
"ME",37.4,56.7,5.9,6.1,317
"MI",47.7,47.2,5.1,5.2,475
"MN",34.7,57.2,8.2,5.3,443
"MO",36.8,55.2,8,5.4,421
"MS",32.3,58.6,9.1,6.7,379
"MT",30.9,58,11.1,7.6,208
"NC",37.7,53.5,8.8,5.1,443
"ND",37,53.6,9.3,11.1,164
"NE",34.8,59.1,6.1,6.7,326
"NH",42,52.5,5.5,6.5,349
"NJ",41.4,53.8,4.8,5.4,467
"NM",39.5,50.4,10.1,13.3,118
"NV",39.6,51.8,8.6,6.2,432
"NY",43.5,49.7,6.8,5,537
"OH",34.4,58.7,6.9,4.9,468
"OK",36.4,54.3,9.4,5.9,423
"OR",50.2,44.2,5.6,5.4,442
"PA",41.4,48.4,10.2,5,463
"RI",39.2,55.9,4.8,7.2,295
"SC",38.3,55.8,5.9,5.6,427
"SD",33.1,54.9,12,9.6,179
"TN",33.2,59.1,7.7,5.5,426
"TX",37.1,55.6,7.2,5.4,525
"UT",33.9,52,14.1,6,407
"VA",40.5,53.9,5.7,5.2,467
"VT",49.8,48.7,1.4,9,175
"WA",50.7,45,4.3,6.2,367
"WI",43.1,48.4,8.6,5.4,431
"WV",32.7,60.3,7,6.2,358
"WY",22.6,58.9,18.5,10.9,143
