How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Banks 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",10.5,25.6,46.6,17.3,0.9,19361
"AK",7,21.6,52.6,18.8,14.4,91
"AL",12.3,21.5,48.9,17.3,5.8,417
"AR",9.1,26.6,46.1,18.2,6.1,422
"AZ",9.9,28.1,48.3,13.8,5.7,435
"CA",13.5,27.6,42.5,16.4,5,717
"CO",12.5,26.6,43.4,17.5,5.6,440
"CT",10.3,24.8,48.3,16.6,6.2,322
"DC",13.9,28.9,36.6,20.6,12.4,100
"DE",9.9,24.6,49,16.5,7.7,302
"FL",10.6,21.8,45.8,21.8,5.4,520
"GA",10.7,26.8,42.4,20.1,5.3,459
"HI",10.1,25.2,45.2,19.5,7.9,241
"IA",11.2,26.7,45.6,16.5,5.6,432
"ID",13.7,28.5,42.5,15.2,6.6,319
"IL",12.9,26,46.4,14.8,5.7,467
"IN",8.7,21.9,48.2,21.2,5.5,451
"KS",12.6,19.5,48.5,19.4,6.1,440
"KY",7,25,49.4,18.6,5.4,425
"LA",12.6,24.6,43,19.8,6.1,417
"MA",5.3,29.9,43.6,21.1,5.3,438
"MD",5.9,24.9,55.1,14.1,6.4,368
"ME",9.8,21,45.6,23.5,6.1,318
"MI",11.6,29.8,39.8,18.8,5.1,479
"MN",6.2,30.7,45.5,17.6,5.3,444
"MO",8.2,24.6,47.8,19.3,5.4,422
"MS",8.2,26.1,45.5,20.2,6.7,381
"MT",10.3,26.1,47,16.6,7.7,212
"NC",10,24.3,48,17.7,5.1,449
"ND",11.7,27.8,51.7,8.8,11.1,164
"NE",6.7,23.6,51,18.8,6.8,328
"NH",13.5,17,55.8,13.7,6.5,351
"NJ",11,27.7,42.4,18.9,5.3,473
"NM",6.6,28.1,45.3,20,13.2,121
"NV",13.7,30.4,45.1,10.9,6.2,433
"NY",8.3,21.1,49.5,21.1,5,538
"OH",7.6,22.5,53.4,16.5,5,473
"OK",10.7,29.1,46.6,13.6,5.9,423
"OR",14.7,28.9,44.2,12.2,5.4,443
"PA",9.8,30,48.6,11.6,5,463
"RI",8.1,22.4,50.8,18.8,7.2,295
"SC",10.1,24.9,48.8,16.2,5.6,430
"SD",11.9,24.2,53,10.9,9.7,178
"TN",10.9,18.6,52.4,18.2,5.6,432
"TX",8.3,27.1,46.8,17.8,5.4,533
"UT",12.1,28.5,48.7,10.7,6,408
"VA",11.3,29.4,44.2,15.1,5.2,467
"VT",8.9,25.5,49.4,16.3,9,176
"WA",8.5,27.7,49,14.8,6.3,366
"WI",9.9,26,47.5,16.5,5.3,436
"WV",9.4,23.2,49.4,18,6.3,357
"WY",14.2,25.9,43.1,16.9,10.9,145
