How concerned, if at all, do you currently feel about the following: - Family members getting coronavirus 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",5.9,12.5,32.6,46.4,2.6,0.9,19385
"AK",4.1,14.7,28,50.2,3,14.4,91
"AL",6.9,11.9,36,44.1,1.1,5.7,416
"AR",8.2,11.8,31.7,44.9,3.4,6.1,422
"AZ",10.5,12.5,31.2,42.5,3.3,5.6,442
"CA",5.5,11.8,26.1,53.1,3.5,5,715
"CO",7.5,17.8,31.9,38.8,4.1,5.5,439
"CT",4,8.5,32.3,54.5,0.7,6.2,321
"DC",2.5,9.5,24.3,56.7,7.1,13,97
"DE",5.2,11,31.7,49.3,2.9,7.7,302
"FL",7.7,12,29.6,47,3.6,5.4,519
"GA",3.9,12.1,29.1,51,3.7,5.4,460
"HI",3.9,9.2,25.8,58.5,2.6,7.8,241
"IA",7.2,15.4,34.5,39.7,3.1,5.5,435
"ID",5.9,19.9,34.3,39.1,0.9,6.5,315
"IL",5.6,14,33.6,44,2.8,5.6,467
"IN",6.1,9.2,35.7,47.8,1.1,5.5,451
"KS",7,16,39.7,36.2,1,6,443
"KY",5.1,11.1,32.2,50.4,1.3,5.4,424
"LA",8.2,12.1,29.8,48.8,1.2,6.2,418
"MA",4.3,10.1,29.7,51.7,4.2,5.3,437
"MD",5.6,10.1,33.2,50.4,0.8,6.4,368
"ME",8.4,9.1,39.7,41.2,1.7,6,322
"MI",4.4,11.8,29.8,50.7,3.4,5.2,478
"MN",5.3,15.6,40.7,37.6,0.8,5.2,444
"MO",7,16.4,37.1,37.1,2.3,5.3,423
"MS",4.7,14.2,33.7,43.9,3.5,6.7,382
"MT",9.4,18.9,34.1,36.1,1.6,7.4,214
"NC",6.6,14.1,35.4,41.6,2.3,5,448
"ND",14.7,16.2,44.5,24.4,0.1,11.1,164
"NE",9.2,16.1,29.6,41.2,3.8,6.7,329
"NH",4.7,14.4,30.9,48.5,1.5,6.5,350
"NJ",4.7,9.8,30.1,52.1,3.2,5.4,473
"NM",7.9,6.4,35.4,48.8,1.6,13.3,119
"NV",5,12.6,31.4,47.3,3.8,6.1,433
"NY",3.3,9,33.9,51.4,2.4,5,537
"OH",5.2,11.9,34.5,45.8,2.7,4.9,473
"OK",10.7,15.3,30.6,42,1.5,5.8,426
"OR",7.7,15.4,36.1,39.2,1.5,5.3,441
"PA",4.9,12.3,34.9,44.3,3.5,5,467
"RI",2.1,10,31.2,53.6,3.1,7.2,298
"SC",6.7,17.6,32.2,42.3,1.3,5.6,432
"SD",1.5,18.6,40.3,37.9,1.6,9.5,179
"TN",6.5,12,34.7,44.5,2.4,5.5,435
"TX",6.3,9,32.2,51,1.6,5.4,535
"UT",5.5,14.6,37,39.7,3.1,5.8,410
"VA",5.2,11.9,36.7,44.5,1.7,5.2,467
"VT",1.3,18.3,34.1,44.1,2.1,8.9,176
"WA",4.1,14.9,36.3,42.4,2.3,6.2,367
"WI",7.7,17.7,32.6,40,2,5.2,436
"WV",3.1,10.7,31.7,52.9,1.6,6.3,360
"WY",9.7,19.2,42.6,28.1,0.4,10.9,144
