In the last week, how closely did you personally follow the health recommendations listed below? - Avoiding contact with other people 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",1.7,4.2,26.3,67.8,0.9,19393
"AK",3.2,1.4,39.1,56.2,14.2,92
"AL",1.3,3.8,28,67,5.4,418
"AR",1.7,5.8,34.1,58.4,6,423
"AZ",1.5,6,29,63.5,5.4,439
"CA",2,3.2,21,73.8,4.4,716
"CO",3,5.8,26.6,64.5,5.4,443
"CT",0.8,2.2,22.8,74.1,5.4,323
"DC",0.6,1.9,28.8,68.8,11.8,102
"DE",0.8,2.7,25.8,70.8,7,303
"FL",1.5,3,20.4,75.1,4.7,520
"GA",1.4,2.6,26.9,69.1,5,460
"HI",1.1,4.7,28.2,66.1,7.5,241
"IA",3.1,3.5,34.8,58.5,5.6,434
"ID",5.2,5.7,33.5,55.6,6.6,318
"IL",1.6,5.3,26.9,66.1,5.4,468
"IN",2.2,4.2,26.3,67.3,5.2,452
"KS",1,2.8,30.5,65.7,5.8,443
"KY",2.4,3.4,26.8,67.5,5.1,422
"LA",1.2,3.6,31.9,63.4,6,415
"MA",1.3,2.5,24.5,71.7,4.8,438
"MD",1.4,1.7,23.3,73.7,5.6,368
"ME",1.3,3.8,31.2,63.7,5.9,320
"MI",2.2,2.8,19.4,75.6,4.5,476
"MN",1.5,4.6,27.4,66.5,5,445
"MO",3.2,5.6,32.9,58.3,5.4,423
"MS",3.6,5.5,33.5,57.4,6.7,383
"MT",0.6,7.4,41.1,50.9,7.7,214
"NC",2.1,4.8,24.1,68.9,4.7,450
"ND",6.8,5.2,40.1,47.8,11.1,165
"NE",2.6,5.8,37.4,54.2,6.8,326
"NH",1.4,4.4,27.1,67.1,6.1,352
"NJ",1.6,1.4,19,78,4.5,470
"NM",0.4,6.8,39,53.8,13.2,121
"NV",2.2,3.5,27.1,67.2,5.8,433
"NY",0.4,1.8,18.8,79,4.1,539
"OH",1.1,4,24.9,70.1,4.6,471
"OK",2.7,8.3,28.8,60.2,5.8,424
"OR",0.6,5.8,29.5,64.1,5.2,443
"PA",1,4.1,23.3,71.5,4.5,463
"RI",0.8,1.7,22.8,74.7,6.3,296
"SC",1.2,4.7,29.8,64.3,5.4,432
"SD",0.8,4.5,38.8,55.8,9.5,180
"TN",1,7.9,25,66.1,5.2,435
"TX",1.2,2.5,26.7,69.6,5,534
"UT",1.8,5,36.2,57,5.9,409
"VA",0.9,5,21.7,72.4,4.7,466
"VT",0.8,2.4,22.2,74.7,7.8,176
"WA",1,5.2,25.6,68.2,5.8,368
"WI",1.6,4.9,31.3,62.3,5.2,434
"WV",5,3.6,24.2,67.2,5.9,362
"WY",3.2,12.6,33.3,50.8,11,145
