How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Hospitals and doctors 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",1.1,3,24.5,71.4,0.8,19366
"AK",0.4,2.5,30.2,66.9,13.6,91
"AL",1.4,4.5,29.8,64.3,5.5,417
"AR",1.6,4.1,31,63.2,5.9,422
"AZ",1.4,5.5,24.7,68.4,5.3,438
"CA",0.9,3.3,20.9,74.9,4.4,718
"CO",1,2.3,25.5,71.2,5.1,440
"CT",0.1,3.8,18.3,77.8,5.2,322
"DC",0,2.4,22.6,75,11.1,101
"DE",0.8,3.4,25.3,70.5,7,301
"FL",1.1,3.4,22.7,72.8,4.8,518
"GA",0.9,3,26.8,69.3,5,459
"HI",2,5.6,22.4,70,7.2,241
"IA",0.8,3.5,22.7,73,5,434
"ID",2.9,2.9,31.5,62.7,6.4,319
"IL",2.3,2,27.8,67.9,5.3,467
"IN",0.1,1.7,22.9,75.3,4.8,452
"KS",0.3,3.1,23.7,72.8,5.5,441
"KY",0.3,2.7,25.2,71.8,4.9,426
"LA",2,3.2,31.5,63.2,6,418
"MA",0.7,1.5,17.5,80.4,4.2,435
"MD",0.4,2.2,22.1,75.2,5.5,369
"ME",1.2,1.8,21.1,75.8,5.3,319
"MI",1.7,4.7,20.6,73,4.6,478
"MN",0.5,4.5,22.1,72.9,4.7,443
"MO",0.5,4.8,24.6,70.1,5,423
"MS",3,5.3,31.8,59.9,6.6,381
"MT",0,2.6,24.8,72.6,6.9,211
"NC",1.2,2.2,28.1,68.5,4.8,447
"ND",0,3.8,27,69.2,10.3,165
"NE",1,2.6,24.6,71.7,6.2,326
"NH",0.8,1.9,19.9,77.4,5.5,350
"NJ",0.3,2.1,24.4,73.2,4.8,473
"NM",0.2,0,24.2,75.7,11.4,121
"NV",1.7,2.3,21.5,74.4,5.4,432
"NY",0.5,2.4,25.1,72,4.5,540
"OH",1,3.7,26.9,68.4,4.6,472
"OK",0.8,3.5,33.3,62.4,5.7,423
"OR",0.4,1.9,21.8,76,4.6,441
"PA",2.1,3,27.9,66.9,4.7,461
"RI",1.6,3,18.1,77.3,6,297
"SC",2,4.5,24.7,68.8,5.2,430
"SD",0,3.8,23.8,72.4,8.7,178
"TN",0.3,1.8,32.8,65.1,5.3,435
"TX",0.7,2.6,24.5,72.2,4.9,533
"UT",1.7,1.7,27.8,68.8,5.5,410
"VA",0.9,3.6,24.5,71,4.8,465
"VT",0,2.2,21.7,76.1,7.7,176
"WA",0.3,0.7,22.2,76.8,5.3,366
"WI",0.2,2.4,24.1,73.3,4.7,436
"WV",2,1.9,26.7,69.4,5.8,360
"WY",1.6,2.2,28.1,68.1,10.2,145
