How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Pharmaceutical companies 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",6.7,20.4,45.8,27.1,0.9,19354
"AK",3.3,21.7,51.2,23.8,14.4,91
"AL",6.8,19.4,46.9,26.9,5.8,418
"AR",5.7,21.2,42.5,30.7,6,421
"AZ",9.6,20.8,47.1,22.4,5.7,435
"CA",7.4,20.5,42.3,29.7,5,719
"CO",10.4,27.8,38.4,23.4,5.5,440
"CT",5.6,18.5,48.4,27.5,6.2,322
"DC",9,17.1,50.6,23.3,12.8,101
"DE",4.5,20.4,47,28.1,7.7,302
"FL",5.2,16.4,49.2,29.2,5.4,519
"GA",4.4,19.9,47.9,27.8,5.4,460
"HI",8.7,22.4,44,24.9,7.8,242
"IA",9.5,22.2,44.4,23.9,5.6,431
"ID",10.6,23.2,47.7,18.6,6.7,317
"IL",9.9,20.3,44.1,25.6,5.6,467
"IN",4.9,17.4,45.1,32.7,5.5,452
"KS",6.8,20.7,40.4,32.1,6,439
"KY",6.1,22,43.3,28.6,5.4,424
"LA",8.6,18.4,47.4,25.7,6.2,417
"MA",5.2,19.6,44.6,30.6,5.3,437
"MD",4.7,21,45,29.2,6.4,369
"ME",7.5,22.7,44.9,24.9,6.1,318
"MI",6.7,21.4,47.6,24.3,5.2,479
"MN",6.5,22.1,45,26.3,5.3,443
"MO",6.8,20.5,47.6,25.1,5.5,420
"MS",7.3,23.2,46,23.6,6.7,383
"MT",5.4,24.7,44,25.9,7.6,213
"NC",4.9,22.6,47.2,25.3,5.1,449
"ND",9.7,29.9,42.6,17.8,11,165
"NE",6.9,19.1,43.5,30.4,6.8,326
"NH",7.2,20.8,47.8,24.2,6.5,352
"NJ",6.8,19.2,42.9,31.1,5.3,474
"NM",10.1,20.3,37.4,32.2,12.8,119
"NV",5.9,21.8,48,24.3,6.2,431
"NY",3.9,14.6,46.1,35.4,5,538
"OH",6.6,19.6,46.9,27,5,470
"OK",8.8,20.5,50.5,20.2,5.9,421
"OR",8,26.3,43.9,21.8,5.4,443
"PA",8.7,17.3,50.6,23.4,5,464
"RI",5.3,17.2,48.6,28.9,7.2,295
"SC",6.2,18.4,49.3,26.1,5.7,427
"SD",5.9,29.6,43,21.6,9.5,179
"TN",8.3,16,46.6,29.1,5.5,435
"TX",3.1,21.7,48.8,26.3,5.4,534
"UT",5.9,27.3,42,24.9,5.9,408
"VA",5.2,23.3,45,26.5,5.2,467
"VT",4.3,28.5,42.6,24.6,8.9,176
"WA",5.9,20.7,49.7,23.8,6.3,366
"WI",5.9,20.7,48.2,25.2,5.3,434
"WV",4.6,24,46.8,24.7,6.3,357
"WY",9.2,23.7,50.5,16.6,11,145
