How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The CDC (Centers for Disease Control and Prevention) 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",4,9,41,46,0.9,19343
"AK",4.7,12.1,38.4,44.8,14.5,90
"AL",3.7,12.2,42.4,41.6,5.7,419
"AR",6,9.2,42.7,42.1,6,421
"AZ",4.7,11.8,39.8,43.6,5.6,442
"CA",4.5,9.4,37.3,48.7,5,714
"CO",3,10.7,46.1,40.2,5.6,441
"CT",2.5,8.8,43.7,45,6.2,323
"DC",3.1,9.6,34.3,53,13,98
"DE",1.4,12.6,34,52,7.7,300
"FL",4.4,8.6,40.5,46.5,5.4,520
"GA",5.3,6.3,42.7,45.8,5.4,458
"HI",3.3,13.5,45.7,37.5,7.8,242
"IA",4.2,7.7,43,45,5.6,431
"ID",6.4,9.2,44,40.4,6.6,319
"IL",4.4,9.3,38.6,47.7,5.7,468
"IN",2.4,10.6,39.3,47.6,5.5,451
"KS",3.1,10.9,37.5,48.4,6.1,439
"KY",3.3,7.8,45.2,43.7,5.4,423
"LA",5.8,8.3,47,38.9,6.2,417
"MA",4.5,5.9,37.6,52,5.3,435
"MD",2.2,6.5,39.1,52.2,6.4,368
"ME",2.1,7.7,36.4,53.8,6.1,316
"MI",3.9,10,42.9,43.2,5.1,478
"MN",3.1,12.2,37.9,46.8,5.3,442
"MO",4.7,11.3,43,41,5.4,423
"MS",8.2,12.8,34.4,44.6,6.7,382
"MT",2.1,12,38.8,47.1,7.7,212
"NC",4.8,6.7,44.9,43.5,5.1,448
"ND",3.4,10.5,33.9,52.2,11.1,165
"NE",3.6,9,44.2,43.2,6.8,329
"NH",3.9,6.6,40.6,48.9,6.5,352
"NJ",3.4,9.7,42.5,44.3,5.3,473
"NM",13.3,2.4,43.1,41.2,13.1,121
"NV",3,7.5,44.5,45,6.2,431
"NY",4.7,6.4,43.8,45.1,5,538
"OH",2.6,7.1,43.9,46.5,5,471
"OK",4.7,9.3,46.6,39.4,5.9,422
"OR",5.2,7,36.9,50.9,5.4,440
"PA",7.2,7.6,41.4,43.9,5,462
"RI",3.8,5.1,38.5,52.6,7.2,294
"SC",4.1,8.2,42.6,45.1,5.6,427
"SD",0.7,9.1,49.1,41.2,9.6,179
"TN",2.8,8.6,43.3,45.3,5.5,436
"TX",1.6,11.2,40.6,46.6,5.4,534
"UT",4.2,9.1,38.6,48.1,6,409
"VA",4.1,7.5,40.5,47.9,5.2,466
"VT",2.5,10.1,44.9,42.5,9,174
"WA",2,7.7,44.3,46,6.2,365
"WI",4.5,9.2,42.9,43.4,5.3,435
"WV",4.3,10,40.1,45.6,6.3,355
"WY",4.9,13.2,46.2,35.7,10.9,145
