Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Ordinary people in your community 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",35.6,53.2,11.2,0.9,19180
"AK",31.1,57.4,11.6,14.3,91
"AL",40.8,48.6,10.6,5.8,406
"AR",32.2,49.2,18.6,6.1,417
"AZ",34,47.5,18.5,5.7,439
"CA",30.7,58.8,10.5,5,706
"CO",30.9,51.9,17.2,5.6,438
"CT",31.6,56.7,11.7,6.2,317
"DC",39.3,54,6.7,13.3,94
"DE",35.7,53,11.3,7.7,297
"FL",32.2,57.8,10,5.4,514
"GA",42.1,45.7,12.2,5.4,457
"HI",28.7,57.9,13.4,7.8,239
"IA",41,49.5,9.4,5.7,426
"ID",37.2,46.6,16.2,6.7,316
"IL",35.5,56.5,8,5.6,461
"IN",36.8,51.4,11.8,5.6,450
"KS",38.9,53,8.1,6.1,435
"KY",39.6,48.5,11.9,5.4,425
"LA",44.3,44.9,10.8,6.2,411
"MA",26.9,64.7,8.4,5.1,429
"MD",30.9,59.4,9.7,6.3,364
"ME",27.5,61.5,11,6,318
"MI",40.5,51.1,8.4,5.2,473
"MN",30.4,56.4,13.2,5.3,444
"MO",36.6,49.5,13.8,5.5,420
"MS",43.5,45.2,11.3,6.8,372
"MT",22.5,63.1,14.4,7.5,209
"NC",38.7,46.1,15.1,5.1,440
"ND",39.5,53.3,7.2,11.1,162
"NE",37.3,50.1,12.6,6.8,327
"NH",31.4,58.9,9.7,6.4,348
"NJ",28.8,61.8,9.4,5.3,468
"NM",34.2,52.9,12.9,13.3,116
"NV",35,50.6,14.4,6.2,433
"NY",33.1,55.7,11.2,5,534
"OH",37,50.3,12.7,5,465
"OK",38.5,49.5,12.1,5.9,422
"OR",32.2,54.8,13,5.4,437
"PA",39.3,49.3,11.4,5,462
"RI",35.7,56.5,7.7,7.2,294
"SC",39.6,47.9,12.5,5.6,428
"SD",34.5,49,16.4,9.8,176
"TN",46.9,44.1,9,5.6,431
"TX",42.7,44.8,12.5,5.4,527
"UT",43,42.5,14.5,5.9,407
"VA",31,57.1,11.9,5.2,466
"VT",22,73.3,4.7,8,173
"WA",28.6,61.8,9.6,6.1,366
"WI",38.9,51.2,9.9,5.4,429
"WV",40.5,50.2,9.3,6.3,359
"WY",26.4,54.1,19.5,11,142
