In the last week, how closely did you personally follow the health recommendations listed below? - Avoiding contact with other people 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",3.1,7.3,32.4,57.2,0.9,17999
"AK",5.4,13.8,49.7,31.1,13.1,104
"AL",3.7,5.7,39.4,51.2,7,354
"AR",6.8,13,39.9,40.3,7.2,297
"AZ",4.1,8,34,53.9,5.5,477
"CA",2.8,3.7,29.1,64.3,4,867
"CO",1.9,9.6,34,54.5,5.9,388
"CT",1.6,7.8,28.9,61.7,8.3,242
"DC",1.5,1.4,28.1,69,11.6,119
"DE",2.3,2.5,24.5,70.7,6.8,261
"FL",2.8,9,29.4,58.8,4.8,605
"GA",3.3,8.2,31.5,57.1,5.8,430
"HI",3,5.9,33.3,57.8,7.7,272
"IA",4.8,11.4,40,43.7,7.4,243
"ID",7,13.4,38.2,41.5,6,367
"IL",3.7,7.2,30.1,59,4.6,517
"IN",5.7,9,36.6,48.7,6.1,376
"KS",4,8.3,33.2,54.4,7.7,237
"KY",1.7,6.2,45.5,46.6,6.8,331
"LA",3.6,8.4,31.5,56.6,6.7,359
"MA",0.9,5.7,28.6,64.8,5.2,434
"MD",0.5,3.5,28.9,67,5.7,397
"ME",2.4,7.8,32.2,57.6,5.7,367
"MI",2.8,5.4,30.6,61.2,5.2,478
"MN",3.3,6,40,50.7,6.6,336
"MO",4.9,6.9,35.4,52.7,5.6,450
"MS",3.3,6.3,36.2,54.2,9.2,230
"MT",5.2,11.2,49.9,33.7,11.5,129
"NC",2.2,8.6,30.6,58.6,5.3,507
"ND",2.8,13.8,34.3,49.2,9.2,210
"NE",5.1,6.6,37.8,50.5,10,159
"NH",3.2,4.7,31.1,61,5.9,351
"NJ",1.8,4.1,30.8,63.4,4.6,525
"NM",4.1,4.9,37.6,53.4,11.3,162
"NV",3.3,9.3,29.9,57.5,7.5,279
"NY",1.4,5.8,24.3,68.4,4.4,616
"OH",4.8,7.3,38.6,49.4,5.2,478
"OK",4.8,12,36.6,46.6,7.4,285
"OR",4.9,7.5,38.1,49.5,5.5,412
"PA",2.8,7,32.8,57.3,4.5,542
"RI",0.5,3.6,29.9,66,8.8,174
"SC",3.6,8.7,40.4,47.3,6.3,346
"SD",2.8,11.8,37.5,47.8,9,178
"TN",2.8,8.3,30.1,58.8,5.7,390
"TX",1.6,6.2,33.1,59,4.9,619
"UT",0.6,12.3,34.3,52.9,8.1,273
"VA",2,4.6,35.2,58.2,5.1,453
"VT",2.8,4.9,29,63.2,8.7,162
"WA",2.5,7,31.9,58.7,5,490
"WI",3,10.4,39.6,47,5.9,418
"WV",5.6,9.8,40.1,44.5,9.3,196
"WY",9.4,13.2,37.2,40.2,11,107
