How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The White House 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",24.8,23.9,34,17.4,0.9,17963
"AK",19,25.2,42.2,13.6,12.9,104
"AL",22,25.4,31.9,20.7,6.5,353
"AR",21,21,34.3,23.7,6.9,295
"AZ",22.4,23,37.6,17.1,5.4,476
"CA",27.4,28.5,28.3,15.7,3.8,866
"CO",26.9,29.6,28.7,14.8,5.4,386
"CT",28.2,25.6,32,14.1,8,241
"DC",29.6,26.9,29.2,14.3,11.4,119
"DE",23.4,27.9,30.4,18.4,6.8,262
"FL",23.5,20.9,31.6,24,4.5,605
"GA",27.3,23.5,28.9,20.4,5.3,428
"HI",28.4,27.3,36.5,7.8,7.5,271
"IA",28.1,18.9,37.2,15.8,7.3,242
"ID",20.4,17.5,50.8,11.3,6.1,368
"IL",25.5,23.5,32.7,18.3,4.4,513
"IN",26,21.9,33,19.1,5.8,374
"KS",20.9,23.6,39.2,16.3,7.6,235
"KY",18.4,22.8,36.7,22.1,6.6,329
"LA",17.6,22.7,37.7,22,6.6,359
"MA",30.8,25.3,28.5,15.5,5,434
"MD",29,25.8,30.5,14.8,5.6,395
"ME",25.1,28,30.3,16.6,5.3,367
"MI",27.3,21.4,37.4,13.9,5.1,478
"MN",22,27.8,38,12.2,6.4,335
"MO",25.3,22.7,33.2,18.8,5.3,444
"MS",18.6,18.3,41.3,21.8,9.1,228
"MT",27.1,19.1,35.2,18.6,11,130
"NC",20.3,25.1,33.8,20.8,5.1,508
"ND",19.4,24.6,34.5,21.4,8.8,210
"NE",23.2,25.2,34,17.5,9.4,159
"NH",35.5,23.6,25.9,15,5.8,350
"NJ",23.8,27.1,30.7,18.3,4.4,526
"NM",28.5,18.7,39.3,13.6,11,163
"NV",26.7,21.8,34.9,16.6,7.2,279
"NY",26.9,19,36,18.2,4.5,616
"OH",25.3,21.7,32.8,20.2,4.9,477
"OK",18.6,22.2,39.8,19.4,7.3,286
"OR",29,27.6,29.3,14.2,5,409
"PA",27.3,23.9,31.3,17.5,4.3,541
"RI",30.6,28.5,30.6,10.3,8.5,178
"SC",16.4,24.7,41.7,17.2,6.3,344
"SD",22.2,15.2,43.1,19.5,8.9,177
"TN",21.4,20.5,37.4,20.6,5.6,388
"TX",20,24.4,39.1,16.4,4.9,614
"UT",20.4,28.6,34.1,16.9,7.7,272
"VA",25.8,25.1,31.2,17.8,4.8,454
"VT",33.3,28.8,26.8,11.1,8.4,163
"WA",30.4,26.1,32.8,10.7,4.8,493
"WI",26.7,24.7,35.2,13.4,5.6,417
"WV",18.4,25.4,38.8,17.4,9.1,195
"WY",17.9,13.7,42.9,25.6,11.1,107
