In the last week, how closely did you personally follow the health recommendations listed below? - Wearing a face mask when outside of your home 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",8.7,8.4,19.3,63.5,0.9,17932
"AK",14.1,7,26.1,52.8,13.1,104
"AL",14.2,10.8,26.1,48.9,7,351
"AR",16,12.9,25.7,45.3,7.3,297
"AZ",14.3,12,19.4,54.3,5.5,475
"CA",4,3,18.5,74.5,3.7,864
"CO",8,5.2,23.2,63.6,5.7,383
"CT",0.9,3.2,15.1,80.8,6.8,241
"DC",1.8,1.8,17.5,78.9,10.2,118
"DE",1.4,6.5,10.6,81.4,5.8,257
"FL",8.1,6.5,16.6,68.8,4.5,606
"GA",10.2,8.1,21.9,59.8,5.8,427
"HI",3.3,1.8,16.4,78.5,6.4,271
"IA",14.1,16,26.5,43.5,7.4,242
"ID",23.9,16.2,23.3,36.6,5.9,367
"IL",2.8,6.3,15.1,75.7,4.1,514
"IN",13.2,12.1,18.7,56,6.1,377
"KS",14.2,15.4,21.1,49.3,7.7,237
"KY",8.8,12.5,23,55.8,6.8,328
"LA",12.3,6.5,21.2,59.9,6.7,356
"MA",0.8,3.6,14.1,81.5,4.2,432
"MD",1.3,5.6,14.7,78.4,5,392
"ME",10,9.3,22.5,58.2,5.8,363
"MI",4.1,6.1,19.1,70.7,4.8,479
"MN",13.5,12.1,26.7,47.7,6.6,333
"MO",15.8,11.7,18.7,53.8,5.5,450
"MS",12.9,8.9,16.4,61.7,9,228
"MT",26.4,14.6,29.2,29.9,10.6,129
"NC",12.3,9.3,23.6,54.8,5.4,506
"ND",20.2,18.2,24.9,36.8,8.9,210
"NE",13.4,10.1,18.4,58.1,9.9,157
"NH",6.9,4.7,22.1,66.3,5.7,351
"NJ",1.1,3.5,17.6,77.9,4,525
"NM",4.8,12,20.3,63,10.9,163
"NV",10,7.4,14.5,68.2,7,281
"NY",1.4,4,14,80.6,3.8,614
"OH",11.4,9.3,19.9,59.4,5.2,477
"OK",20.3,9.4,24.6,45.7,7.4,285
"OR",14.7,11.1,21.9,52.3,5.5,410
"PA",1.9,3.9,19.2,75,4,540
"RI",1.1,1.7,14.7,82.5,7,176
"SC",14.2,13.6,25.3,46.9,6.4,344
"SD",19.3,20.3,20.9,39.5,8.9,176
"TN",10.7,13.7,23.4,52.3,5.8,389
"TX",7.2,8.5,17,67.3,4.7,618
"UT",9.6,17.1,28.5,44.8,8.2,271
"VA",6.6,8,14.1,71.3,4.7,451
"VT",8.9,3.4,22.7,65,8.5,163
"WA",13.7,10.2,21.4,54.7,5.1,488
"WI",15.5,14.5,23.7,46.4,5.8,417
"WV",11.4,12.8,27.6,48.2,9.4,192
"WY",26,12.3,23.6,38.1,10.9,107
