Gender recoded 
"","Male","Female","Error Margin","N"
"National",47.3,52.7,0.9,18103
"AK",48.5,51.5,13.1,104
"AL",44.5,55.5,6.9,356
"AR",45.7,54.3,7.3,297
"AZ",48.2,51.8,5.5,477
"CA",47.6,52.4,4.2,877
"CO",48.6,51.4,5.9,390
"CT",46.2,53.8,8.5,243
"DC",46.7,53.3,12.4,120
"DE",46.4,53.6,7.4,263
"FL",46,54,4.8,607
"GA",46.2,53.8,5.8,433
"HI",48.9,51.1,7.8,272
"IA",48.2,51.8,7.5,244
"ID",48.6,51.4,6.1,370
"IL",45.1,54.9,4.7,521
"IN",47,53,6.1,378
"KS",49.2,50.8,7.7,240
"KY",45.3,54.7,6.8,331
"LA",46,54,6.8,361
"MA",46.4,53.6,5.4,437
"MD",46.1,53.9,6,399
"ME",48,52,5.8,370
"MI",47.2,52.8,5.3,482
"MN",47,53,6.5,338
"MO",47.4,52.6,5.5,454
"MS",42.3,57.7,9.1,230
"MT",49,51,11.5,130
"NC",45.2,54.8,5.4,512
"ND",50.5,49.5,9.2,212
"NE",48.3,51.7,9.9,159
"NH",48.7,51.3,6,351
"NJ",46.1,53.9,4.8,529
"NM",47.5,52.5,11.2,163
"NV",47.3,52.7,7.5,282
"NY",46.9,53.1,4.7,620
"OH",46.3,53.7,5.2,479
"OK",47.6,52.4,7.4,288
"OR",47.7,52.3,5.5,412
"PA",46.3,53.7,4.6,545
"RI",47.9,52.1,9.2,178
"SC",46.1,53.9,6.3,347
"SD",49.7,50.3,9,178
"TN",46.7,53.3,5.8,391
"TX",48.4,51.6,5,621
"UT",47.9,52.1,8.1,274
"VA",47.5,52.5,5.1,455
"VT",47.1,52.9,8.9,163
"WA",48.9,51.1,5.1,496
"WI",48.1,51.9,5.8,420
"WV",48.2,51.8,9.3,196
"WY",49.1,50.9,11.1,108
