In the last week, how closely did you personally follow the health recommendations listed below? - Avoiding public or crowded places 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",2.7,5.7,23.5,68.1,0.9,17967
"AK",5.4,19.8,26.9,47.8,13.1,104
"AL",5.3,5.8,27.7,61.3,6.8,354
"AR",5.3,12.9,30.4,51.4,7.3,296
"AZ",3.4,5,24.1,67.5,5.2,477
"CA",1.7,4.9,21,72.3,3.8,864
"CO",3.3,6.9,24.4,65.4,5.6,389
"CT",1.5,2.6,21.3,74.6,7.5,242
"DC",0,1.4,24.6,74.1,10.9,119
"DE",3.6,1.9,17.3,77.2,6.3,258
"FL",3,5.7,23.2,68.1,4.5,603
"GA",1.3,6,26.8,65.9,5.6,428
"HI",4.5,4.1,26.1,65.3,7.4,271
"IA",3,8,27,62,7.3,241
"ID",5.9,12.4,31.7,50,6.1,367
"IL",3,4.9,22.9,69.2,4.3,517
"IN",3.9,6.8,28,61.2,6,376
"KS",3.3,6.2,21.9,68.6,7.2,237
"KY",2.9,6,25.9,65.2,6.5,331
"LA",3.2,5,22,69.7,6.3,357
"MA",1.2,4.7,24.3,69.8,5,434
"MD",0.5,3.2,14.5,81.8,4.7,396
"ME",2.4,5.1,20.2,72.3,5.2,366
"MI",2.4,4.4,21.7,71.6,4.8,477
"MN",3.1,4.9,27.8,64.2,6.3,337
"MO",4.5,4.5,25.1,65.8,5.3,450
"MS",3.1,5.1,24.5,67.3,8.7,228
"MT",10,5.5,29.9,54.6,11.5,129
"NC",2.4,5.8,23.9,67.9,5.1,507
"ND",2.1,8.2,35.4,54.2,9.2,210
"NE",3.9,5.8,23.2,67.2,9.4,158
"NH",2.3,3,19,75.6,5.2,349
"NJ",2,3.4,21.1,73.5,4.2,524
"NM",1.4,10.2,22.2,66.2,10.6,163
"NV",2.4,4.3,24.7,68.5,7,279
"NY",1.9,3.9,22.4,71.8,4.3,615
"OH",4.9,7.7,25.2,62.3,5.1,478
"OK",5.1,8.2,25.2,61.5,7.2,284
"OR",3.9,7.8,25.6,62.8,5.3,411
"PA",2.2,6.4,21.1,70.2,4.2,538
"RI",0.4,2,14.5,83.2,7,175
"SC",2.5,5.7,30.9,60.9,6.2,345
"SD",2,9.9,28.2,59.9,8.8,178
"TN",3.6,5.9,29.3,61.2,5.7,390
"TX",1.3,5.2,24,69.5,4.6,618
"UT",1.6,9.2,27.3,61.8,8,270
"VA",1.8,5.5,21.9,70.8,4.7,455
"VT",1.7,4.4,17.8,76.1,7.6,163
"WA",2.6,6.1,24,67.2,4.8,489
"WI",2.1,6.6,27.4,63.8,5.6,418
"WV",4.7,4.1,28,63.2,9,195
"WY",11.6,10,27.9,50.5,11.2,107
