Age range 
"","18 to 24","25 to 44","45 to 64","65 and over","Error Margin","N"
"National",12.6,34.8,32.7,19.9,0.9,18103
"AK",14.9,37.3,33.6,14.2,12.7,104
"AL",12.7,34.9,32,20.4,6.7,356
"AR",13.1,31.3,34.3,21.3,6.9,297
"AZ",13,33.5,31.9,21.6,5.2,477
"CA",12.2,36.7,32.3,18.7,4,877
"CO",12,37.4,33.4,17.2,5.7,390
"CT",13.6,31.3,36.1,19,8.2,243
"DC",15.1,46.4,26.8,11.8,12.4,120
"DE",11,31.7,34.5,22.8,7,263
"FL",10.1,32.6,33.3,24,4.6,607
"GA",12.9,37,33,17,5.6,433
"HI",11.9,33.7,32.5,21.9,7.4,272
"IA",13.8,32.8,33.4,20,7,244
"ID",13.2,34.6,32.5,19.8,5.8,370
"IL",10.9,33.6,35.1,20.4,4.5,521
"IN",12.8,33.4,34,19.9,5.8,378
"KS",14.8,32.5,33.3,19.4,7.3,240
"KY",12.5,32.5,35.5,19.5,6.5,331
"LA",12.6,36.5,33.4,17.6,6.5,361
"MA",12.1,33.3,35.2,19.4,5.2,437
"MD",12.2,34.5,34.3,19,5.7,399
"ME",10,28.9,37.1,23.9,5.6,370
"MI",11.4,31.7,36,20.9,5.1,482
"MN",12.1,35.1,34.3,18.5,6.3,338
"MO",12,33.3,34.4,20.3,5.3,454
"MS",15,34.8,35.1,15.1,8.8,230
"MT",11.2,30.7,34.7,23.4,11,130
"NC",10.9,33.4,35,20.6,5.1,512
"ND",16.7,33.9,30.8,18.6,8.7,212
"NE",14,34.2,32.7,19.1,9.4,159
"NH",12.2,29.6,37.5,20.8,5.8,351
"NJ",10.2,32.5,36.5,20.8,4.6,529
"NM",13.6,33.1,32.3,21,10.6,163
"NV",11.1,36.5,32.4,20,7.3,282
"NY",12.2,35.1,33.7,19.1,4.5,620
"OH",11.2,32.3,35.8,20.7,5,479
"OK",13.8,33.3,32.5,20.4,7,288
"OR",11.6,35.5,32.3,20.6,5.2,412
"PA",10.2,32.6,33.8,23.4,4.3,545
"RI",13.6,31.2,34.4,20.9,8.7,178
"SC",10.4,33.5,34.4,21.7,6,347
"SD",13.1,32.4,33.4,21.1,8.5,178
"TN",11.8,35.2,32.3,20.8,5.5,391
"TX",13.5,38.1,32.4,16,4.8,621
"UT",16.2,40.3,28.4,15.1,8,274
"VA",11.7,35.2,34.3,18.9,4.9,455
"VT",13.6,29.2,36.8,20.3,8.6,163
"WA",11.9,36.4,33.2,18.5,4.9,496
"WI",12.8,32.9,34.1,20.3,5.5,420
"WV",11.3,31,35.4,22.3,8.9,196
"WY",13.7,32.2,35.3,18.8,10.6,108
