How concerned, if at all, do you currently feel about the following: - Being able to receive health care 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",20,25.6,28.8,20.7,4.9,0.8,17929
"AK",33,25.6,25.7,13.1,2.6,12.4,103
"AL",17.1,24.8,26.9,26.6,4.6,6.3,346
"AR",22.4,26,27.4,18.8,5.3,6.5,295
"AZ",26.9,23.9,24.3,21.7,3.2,5,470
"CA",18.7,24.5,30.6,19.9,6.3,3.9,866
"CO",23,28.9,27.6,16.6,3.9,5.3,388
"CT",19.2,21.2,28.7,26.3,4.7,7.8,241
"DC",16.2,19.6,35.7,24.1,4.3,12,119
"DE",18.1,30.5,25.8,21.1,4.6,6.8,263
"FL",18,23.8,29.9,20.9,7.4,4.5,602
"GA",15.6,22.9,30.7,24.6,6.2,5.4,428
"HI",19.1,24.1,34.8,18.5,3.5,7.5,269
"IA",20.6,29.1,34.5,11.5,4.3,7.2,239
"ID",28.5,24.5,30.7,12.7,3.6,5.7,365
"IL",21.9,26.7,28.2,18.2,4.9,4.2,515
"IN",26.7,27.6,24.8,15.3,5.5,5.5,373
"KS",20.5,27,32.1,16.6,3.8,7.3,234
"KY",20.3,24.4,27.9,24.4,3,6.1,326
"LA",24.4,24.4,21.6,25.3,4.4,5.9,359
"MA",15,26.5,29.4,26.2,3,5,436
"MD",16.7,25.5,31.2,24.3,2.3,5.6,391
"ME",24.8,30,28.3,13.2,3.8,5.3,369
"MI",19.5,27.2,30.7,17.6,5,4.9,481
"MN",20.8,28.3,24.3,21.9,4.6,5.9,337
"MO",24.9,27.8,26.4,15.6,5.3,5,453
"MS",12.1,26.9,24.8,29.7,6.5,8.4,229
"MT",37.1,30.7,21.4,8.3,2.5,11.1,129
"NC",21.8,20.4,31.1,20.4,6.3,5,509
"ND",21.4,39.4,25.9,9.5,3.8,9,209
"NE",22.4,24.4,34.9,16.4,1.9,9.5,158
"NH",15.1,34.8,25.9,21,3.3,5.7,350
"NJ",18.7,24,29.8,22.3,5.2,4.4,522
"NM",13.9,27.9,27.5,24,6.7,10.1,162
"NV",18.9,20.6,32.5,22.8,5.1,7.1,279
"NY",18.5,22.7,26.9,26.8,5,4.2,613
"OH",21.6,28.2,28.2,17.8,4.2,4.7,475
"OK",19.9,20.4,32,21.8,5.9,6.9,284
"OR",24.9,28.6,27.9,14.3,4.3,5,409
"PA",18.1,28.4,29.4,18.6,5.4,4.2,540
"RI",20.1,25.5,29.2,22.5,2.8,8.4,173
"SC",20.3,26.2,31,17.5,5.1,5.9,343
"SD",31.6,29.1,25.9,12,1.5,8.4,177
"TN",22.3,26,24.5,19.5,7.7,5.1,390
"TX",17.8,22.4,28.9,25.7,5.3,4.5,613
"UT",28,21,28.8,17.4,4.9,7.4,271
"VA",21.2,24.4,26.2,25.3,3,4.5,453
"VT",16,31,32.9,12.7,7.4,8.4,163
"WA",20.8,26,28.4,19.8,5,4.6,492
"WI",22.2,27.5,31.1,16.1,3.1,5.4,419
"WV",19,21.4,31.5,23.7,4.4,8.7,194
"WY",31.8,28.9,23.2,12.4,3.6,10.5,105
