How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Your city government 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",6.1,17.1,53.6,23.2,0.9,17983
"AK",5.9,20.1,55.3,18.7,13,104
"AL",8.9,21.9,48.6,20.5,7,352
"AR",7.9,14.7,60.6,16.7,7.1,295
"AZ",5,20,56.2,18.8,5.5,476
"CA",5.7,16.4,52.1,25.8,4.2,869
"CO",4.7,21.1,50,24.1,5.9,388
"CT",5,14.8,53.9,26.4,8.6,241
"DC",1.7,7.6,44,46.6,12.4,120
"DE",9.8,15.7,53.8,20.8,7.4,259
"FL",6.5,19.2,52.1,22.2,4.9,605
"GA",8.3,21.1,53.8,16.8,5.8,428
"HI",6,22.5,51.4,20.1,7.8,271
"IA",7.5,16.6,55.6,20.2,7.5,241
"ID",7.1,15.8,57.6,19.4,6,368
"IL",6.6,13.3,49.3,30.8,4.7,515
"IN",5.3,20.9,52.6,21.2,6.1,376
"KS",4.7,15.6,53.6,26.1,7.7,236
"KY",7.8,15.7,53.6,23,6.8,331
"LA",8.8,15.4,56.5,19.2,6.8,359
"MA",2.6,9.1,56.9,31.4,5.4,433
"MD",5.1,11.5,54.3,29,6,394
"ME",5.4,17.1,59.5,18,5.7,369
"MI",5.1,15.6,52,27.2,5.3,480
"MN",3.7,17.3,52.3,26.7,6.6,335
"MO",8,18,54.9,19.1,5.6,444
"MS",8.9,20.1,50.6,20.4,9.2,229
"MT",4.9,19.7,55.2,20.2,11.4,130
"NC",4.5,17.1,58.2,20.1,5.3,509
"ND",5.2,18.5,53.6,22.6,9.2,210
"NE",5.4,10.3,65.4,18.9,9.5,159
"NH",5.8,11.1,52.8,30.3,6,349
"NJ",4.4,15.5,53.2,26.9,4.8,525
"NM",9,11.2,55.9,23.9,11.2,163
"NV",10.2,19.5,50.2,20,7.6,280
"NY",6.2,10.7,50.8,32.4,4.7,618
"OH",6.9,17.6,52.6,22.8,5.2,477
"OK",9.1,24.4,53.8,12.7,7.4,287
"OR",4.9,22,49,24.1,5.5,411
"PA",6.7,17.1,58.4,17.8,4.5,541
"RI",5.1,18,51.8,25.1,9.2,177
"SC",5.3,20.9,62.6,11.1,6.2,343
"SD",3.9,20.7,60.3,15.1,8.8,177
"TN",7,17.8,56.1,19.2,5.7,390
"TX",5.3,19.4,53,22.3,5,618
"UT",5.8,19.6,49.1,25.5,8.2,272
"VA",6.3,16,58,19.8,5.1,454
"VT",4.7,8.9,45.2,41.1,8.9,163
"WA",5.8,18.6,52.5,23,5.1,492
"WI",6.6,23,51.7,18.7,5.9,417
"WV",6.5,16.6,58.7,18.2,9.2,196
"WY",7.7,24.2,48.6,19.6,11.2,107
