How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Banks 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",12.4,28.2,45.5,14,0.9,17980
"AK",9.3,35.5,39.6,15.6,12.8,104
"AL",11.8,32.1,45,11.1,7,352
"AR",14.1,27.1,47.1,11.7,7.3,296
"AZ",10,29.8,45.2,15,5.5,477
"CA",11.4,31.8,44.6,12.2,4.2,871
"CO",11.1,30.9,45.9,12.1,5.9,388
"CT",16.5,31.4,42.9,9.2,8.5,239
"DC",12.5,30.4,37.7,19.3,12.1,119
"DE",12.2,29.4,46.4,12,7.4,261
"FL",10.3,27.2,45,17.5,4.8,601
"GA",11.3,27.6,47.3,13.8,5.8,429
"HI",10.7,21.4,54.1,13.8,7.8,272
"IA",17,26.7,42.5,13.8,7.4,242
"ID",14.5,30.1,45.8,9.6,6.1,368
"IL",12.1,22.1,51.5,14.3,4.7,515
"IN",8.8,32.1,44.2,15,6.1,377
"KS",13.2,25.3,47,14.5,7.8,235
"KY",10.3,28.7,48.9,12.1,6.8,329
"LA",12,22.5,45,20.5,6.8,359
"MA",10.1,27.7,49.8,12.4,5.5,435
"MD",11.8,29.8,42.7,15.7,6,394
"ME",10.3,29.6,45.6,14.5,5.8,367
"MI",12.6,26.4,44.7,16.3,5.3,477
"MN",16.4,29.5,39.1,15.1,6.4,335
"MO",11.2,32.8,41.9,14.1,5.5,446
"MS",13.7,30.5,37.5,18.2,8.9,229
"MT",11.1,21.1,60,7.9,11.3,129
"NC",9.9,28.7,48,13.4,5.4,508
"ND",7.5,28.7,48.6,15.2,9.2,210
"NE",16.4,18.1,50,15.4,10,159
"NH",10.9,24.4,47.8,17,6,350
"NJ",13.9,25.1,47.7,13.2,4.8,527
"NM",13.5,31.5,46.4,8.7,11.2,163
"NV",18.3,26.5,39.8,15.4,7.4,281
"NY",9.6,23.4,50.7,16.4,4.7,618
"OH",13.6,28.9,44.1,13.4,5.2,477
"OK",17.5,28.1,45.6,8.8,7.4,287
"OR",13,31.5,43,12.5,5.4,411
"PA",11.7,29.9,44.1,14.3,4.6,541
"RI",15.1,27.5,48.7,8.7,9.2,178
"SC",12,26.7,50.6,10.8,6.4,345
"SD",17.9,28.7,40.8,12.6,8.9,178
"TN",14.2,23.4,48.3,14.1,5.8,388
"TX",11.6,28.9,45.6,14,5,614
"UT",11.5,28.7,46.5,13.3,8.1,271
"VA",13.4,28.9,45.1,12.6,5.1,453
"VT",9.5,28.2,50.8,11.5,8.9,163
"WA",15.9,31.6,41.6,10.9,5,493
"WI",12.8,34.3,40.1,12.8,5.8,418
"WV",16,27.4,42.2,14.4,9.3,194
"WY",10.5,25.2,52.4,12,11.2,107
