Have you or someone in your household experienced any of the following as a result of the coronavirus (COVID-19) outbreak 
"","Had to start working from home","Had their school or university closed","Had to stop or scale back work to take care of their children","Had to stop or scale back work to take care of someone who had COVID-19","Had to take a cut in pay due to reduced hours or demand for their work","Was laid off or lost a job","Error Margin","N"
"National",30.6,28.7,6.7,1.4,16.9,19.8,0,269
"AK",14.3,22.7,6.4,2,10.9,11.9,11.2,104
"AL",28.1,20.9,9.7,2.5,14.6,19.6,6.2,356
"AR",21.5,26.1,8.3,1.6,20.5,12.1,6,297
"AZ",28.4,26.7,4.6,0.8,20.2,17.2,5,477
"CA",33.2,33.7,7.3,1,19.6,19.2,3.9,877
"CO",35.1,28.7,5.5,2.1,18.7,21.6,5.5,390
"CT",37.4,36.1,8.3,0.7,19.9,24.2,8,243
"DC",48.1,23.9,4.8,1.1,16,17.7,12.4,120
"DE",30.3,25.5,8.2,1,16.5,16.1,7.1,263
"FL",29.1,26.6,8.1,2,15.3,22,4.2,607
"GA",26.5,30.7,6.1,1.3,17.9,15.9,5.2,433
"HI",33.3,24.4,4.2,1.3,20,25.2,7,272
"IA",26.5,26,5.8,1,15.5,21.9,6.2,244
"ID",23.6,29.5,7.7,2,14.4,18.6,5.3,370
"IL",34.8,30.8,5.7,1.9,21.8,21,4.4,521
"IN",24.5,24,6,0.3,17.8,14.1,4.8,378
"KS",26.4,33.3,6.9,1.6,13.6,23.2,7.3,240
"KY",21.2,22.7,4.8,0.2,19.4,25.6,6.1,331
"LA",22.4,27.4,7.4,1.5,15.8,23.3,6.1,361
"MA",38,34.3,9.3,0.8,18.4,23.3,5.2,437
"MD",41.2,29.4,7.5,1.3,15.1,17.8,5.8,399
"ME",22.4,21.1,6,1.1,12.7,16.1,4.5,370
"MI",29.6,28.8,6.8,1.3,14.4,26.9,4.7,482
"MN",36.8,28.5,7.4,0.6,15.6,19.9,6.2,338
"MO",28,31.5,6.7,0.5,12.2,18.9,5.2,454
"MS",17.3,35.1,7.4,0.9,10.3,22.1,8.5,230
"MT",26.6,26.8,7.8,2.6,18.1,17.1,10.8,130
"NC",23.5,29.1,7.7,1.5,15.7,19.2,4.9,512
"ND",23,19.1,4,0.7,7.9,15.4,7.5,212
"NE",26.4,25.7,2.5,2,10.9,10.2,8,159
"NH",33.3,25.7,7.5,1.2,17.4,22.2,5.5,351
"NJ",41.7,31.4,7,2.1,16.8,23.1,4.6,529
"NM",20,29.5,5,1.5,10.7,18.3,9.6,163
"NV",26.1,22.4,5.1,0.8,13.5,33.1,7.2,282
"NY",34.1,24.9,5.2,2.6,11.5,22.6,4.2,620
"OH",24.7,26.1,4.5,0.4,14.7,20.3,4.5,479
"OK",24.3,32.1,8.3,1.7,17.4,17.3,6.8,288
"OR",26.7,28.6,5.5,0.9,22,16.4,4.9,412
"PA",28.3,24.9,5.4,1.4,14.4,21.8,4,545
"RI",40.8,32.2,10,2.8,17.8,22.5,8.8,178
"SC",21.4,26.2,7.3,0.9,16.2,15.8,5.5,347
"SD",24.4,28.7,6.8,1.5,19.9,15.1,8.2,178
"TN",29.1,28.2,5.5,0.5,16.3,20.8,5.3,391
"TX",35.2,32.4,6.6,0.6,14.6,19,4.5,621
"UT",42.9,35,10,0.2,21.5,14.5,8,274
"VA",35,29.1,6.5,1.1,16.3,18.6,4.7,455
"VT",37,27.4,9.3,0.4,18.2,24,8.5,163
"WA",34.6,34.1,7.9,1.8,18.2,20.6,4.8,496
"WI",28.5,30,7.8,2.3,22,25.2,5.3,420
"WV",16.9,28.6,6,1.9,12.7,17.9,8.1,196
"WY",26.6,35,6.2,1.6,22.2,17.4,10.4,108
