Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Ordinary people across the country 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",54.7,28.4,16.9,0.9,17786
"AK",45.1,26.3,28.6,13.2,103
"AL",50.6,27.7,21.7,7.1,347
"AR",48.9,26.1,25.1,7.3,293
"AZ",54.9,25.5,19.6,5.6,467
"CA",55.9,28.5,15.7,4.2,864
"CO",50.4,29.5,20.1,5.9,379
"CT",58.7,28.7,12.7,8.5,238
"DC",66.4,25.9,7.7,11.9,117
"DE",57.8,30.2,12.1,7.3,262
"FL",51.3,34.1,14.6,4.9,595
"GA",50.6,34.7,14.7,5.9,421
"HI",60.9,26.3,12.8,7.7,263
"IA",50.3,30.7,19,7.5,240
"ID",47.4,21.9,30.7,6.2,356
"IL",52.4,30.9,16.6,4.7,513
"IN",54.5,22.9,22.6,6.2,370
"KS",53.5,27.6,19,7.8,232
"KY",57.3,26.2,16.5,6.8,323
"LA",63.4,22.2,14.4,6.6,356
"MA",64,28.5,7.5,5.2,434
"MD",61.2,26.7,12.1,5.9,394
"ME",51.7,30.7,17.7,5.8,366
"MI",57.3,26.4,16.3,5.2,476
"MN",59.6,22.1,18.3,6.5,334
"MO",54.3,23.2,22.5,5.6,446
"MS",56.1,25.7,18.2,9.2,227
"MT",43.7,34.2,22.1,11.5,129
"NC",53,30.2,16.8,5.4,503
"ND",46.1,36,17.9,9.3,204
"NE",59.4,22.9,17.8,9.8,158
"NH",64.3,22.1,13.6,5.8,345
"NJ",58.9,27.1,14,4.7,523
"NM",51.4,23.4,25.2,11.5,159
"NV",51.5,28.6,19.9,7.6,276
"NY",54.7,35,10.3,4.7,614
"OH",48.5,31.5,20.1,5.3,471
"OK",51.6,21.4,26.9,7.4,284
"OR",53.3,26.3,20.3,5.5,407
"PA",52.8,29.9,17.3,4.6,541
"RI",70.6,17.3,12,8.5,173
"SC",52,27.2,20.9,6.4,341
"SD",38.1,36.2,25.7,8.8,176
"TN",56.4,22,21.6,5.8,387
"TX",57.9,25.1,17,5,604
"UT",52,26.9,21.1,8.2,268
"VA",58.2,27.8,14.1,5.1,449
"VT",60.1,27.6,12.3,8.9,159
"WA",50.7,31.5,17.8,5.1,488
"WI",53,29.1,17.9,5.9,414
"WV",59,20.4,20.6,9.3,192
"WY",45,23.4,31.6,11.3,105
