How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Congress 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",16,33.9,41.1,9,0.9,17948
"AK",17.9,40.8,32.9,8.5,12.9,104
"AL",18.2,36.7,32.7,12.3,6.8,353
"AR",18.8,35.1,36.8,9.3,7,296
"AZ",14.4,38.6,39.2,7.7,5.4,477
"CA",14.8,35.6,38.5,11.1,4.1,863
"CO",18,38.5,35.4,8.2,5.7,388
"CT",16.7,37,37.9,8.4,8.3,241
"DC",15,29.2,36.6,19.1,12,119
"DE",15.3,33.3,43,8.4,7.3,262
"FL",13,31,46.8,9.2,4.9,601
"GA",14.5,31.4,46.5,7.7,5.8,427
"HI",17,35.8,41.9,5.3,7.7,272
"IA",16.6,29.7,44.5,9.2,7.5,241
"ID",20.4,36.6,38,4.9,5.9,368
"IL",14.8,34.5,41.5,9.1,4.7,512
"IN",18,37.8,36.8,7.4,6,376
"KS",15.3,38.4,36.9,9.3,7.6,234
"KY",17.1,29.6,45.7,7.5,6.8,327
"LA",15.6,33.8,41.6,8.9,6.7,359
"MA",13,32.5,44.4,10.1,5.4,434
"MD",11.9,38.3,39.6,10.2,5.9,393
"ME",18.8,40.8,33.2,7.2,5.7,368
"MI",15.6,32.6,42.3,9.5,5.2,479
"MN",17.6,39.9,34.4,8.2,6.5,333
"MO",16.1,37.6,40.5,5.8,5.5,443
"MS",13.8,32.7,41.1,12.3,9.1,228
"MT",21.7,38.4,34.9,4.9,11.2,130
"NC",15.1,34.6,39.5,10.7,5.3,506
"ND",13.8,35.4,46.9,4,9.2,209
"NE",17.8,31,45.2,6,10,158
"NH",15.6,39.8,33.5,11.1,5.9,350
"NJ",12.3,31.2,45.3,11.2,4.8,526
"NM",22,25.7,41.4,10.9,11.1,161
"NV",18.9,31.9,41.1,8,7.4,280
"NY",15.5,28.2,42.6,13.7,4.7,615
"OH",16.1,34.3,39.5,10.1,5.2,475
"OK",19.6,35.5,38.1,6.9,7.2,287
"OR",16.9,41.1,36.2,5.8,5.4,411
"PA",18.4,32.8,41.2,7.6,4.5,541
"RI",16.5,32.1,48.3,3.2,9.2,178
"SC",14.6,37.2,41.1,7.1,6.2,346
"SD",18,34.9,38.2,8.9,8.8,177
"TN",18.3,30.1,40.9,10.7,5.7,387
"TX",13.2,28.6,48,10.1,5,612
"UT",18.4,37.1,35,9.5,7.9,273
"VA",18.2,36.4,38.3,7.2,5,454
"VT",13.9,37.1,41.2,7.9,8.8,163
"WA",16.4,34.4,42,7.2,5.1,492
"WI",19.2,35.1,39.5,6.2,5.7,417
"WV",12.2,37.5,46.7,3.6,9.3,195
"WY",14.4,41.6,35.2,8.8,11,107
