How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Hospitals and doctors 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",1.4,3.7,27.6,67.3,0.9,17988
"AK",0.5,5.2,35.1,59.3,12.9,104
"AL",1.6,5.4,34.1,58.8,6.9,352
"AR",1.9,4.2,35.5,58.5,7.2,295
"AZ",2.3,4.6,25.6,67.5,5.2,477
"CA",0.9,3.9,26.4,68.8,3.9,869
"CO",0.9,5.9,25.3,67.9,5.5,388
"CT",2.2,3.2,26.6,68,8,241
"DC",1.5,5.6,26.1,66.9,11.7,120
"DE",1.4,1.9,28.3,68.4,6.9,261
"FL",1.1,3.7,28.7,66.5,4.6,602
"GA",0.9,2.9,28.2,67.9,5.5,429
"HI",1.3,4.8,20.5,73.4,6.9,271
"IA",3.4,3.3,25.1,68.1,7,243
"ID",1.7,3.6,28.7,66,5.8,366
"IL",1.3,4,24.8,69.9,4.3,516
"IN",0.2,5,29.6,65.2,5.9,376
"KS",1.2,5.5,28.8,64.4,7.5,235
"KY",2,3.7,34.8,59.5,6.7,330
"LA",1.2,3.2,32.4,63.2,6.6,360
"MA",1.1,2.1,21.1,75.7,4.7,434
"MD",1.2,3.1,28.2,67.6,5.7,395
"ME",0.8,2.9,28.6,67.7,5.4,368
"MI",0.8,3.5,31.1,64.7,5,479
"MN",1.6,1.6,27.5,69.3,6.1,336
"MO",1.5,5.8,29.4,63.3,5.4,447
"MS",1.9,4.2,37.8,56.1,9.1,230
"MT",0,3.2,28,68.8,10.7,129
"NC",0.7,2.3,30.1,66.8,5.1,509
"ND",2,1.7,32.4,63.9,8.8,211
"NE",3.6,1.9,29.8,64.7,9.5,159
"NH",1.6,0.7,23.3,74.4,5.3,348
"NJ",0.4,4.4,25.5,69.7,4.4,525
"NM",0.3,2.1,32.2,65.4,10.7,163
"NV",2.2,4.9,26.6,66.2,7.1,281
"NY",0.8,3.8,25.7,69.8,4.3,619
"OH",4.1,4.7,25.6,65.6,5,478
"OK",3.3,5.6,27.3,63.8,7.1,287
"OR",1.3,2.6,29.4,66.7,5.2,411
"PA",0.6,2.9,29.1,67.3,4.3,539
"RI",0.8,2.9,28.2,68.1,8.6,177
"SC",1.1,5.8,35.1,57.9,6.3,346
"SD",0,3.8,27.2,69,8.4,176
"TN",4.6,5.1,28.5,61.7,5.6,390
"TX",1.1,3,33.2,62.7,4.8,615
"UT",0.9,2.8,30.3,66,7.7,273
"VA",2.4,3.3,25.3,69,4.8,452
"VT",1.1,3,21.6,74.3,7.8,163
"WA",0.6,3.4,23.2,72.8,4.6,492
"WI",1.3,3.7,26.9,68.1,5.5,418
"WV",0,6.5,27.9,65.7,8.8,196
"WY",0.8,2.6,35.4,61.2,10.9,107
