Compared to last week,  would you say the social distancing guidelines issued by your state's government  have become stricter, less strict, or remained about the same? 
"","The guidelines are stricter now","The guidelines are less strict now","The guidelines have remained about the same","Error Margin","N"
"National",9.9,60.3,29.8,0.9,18027
"AK",8.3,75.5,16.2,11.3,104
"AL",10.4,66.1,23.6,6.6,354
"AR",7.1,63.8,29.2,7,296
"AZ",9.2,68.6,22.2,5.1,476
"CA",10.1,58.6,31.2,4.1,873
"CO",9.2,63,27.8,5.7,388
"CT",10.7,50.9,38.4,8.6,241
"DC",15.5,39.9,44.6,12.4,120
"DE",14.5,49.7,35.8,7.4,263
"FL",10,68.3,21.7,4.5,606
"GA",10.2,69.3,20.5,5.4,430
"HI",8,64,28,7.5,271
"IA",5,75.7,19.3,6.4,243
"ID",5.2,73.6,21.3,5.4,367
"IL",17.4,37.8,44.8,4.7,519
"IN",5.4,69.3,25.3,5.7,377
"KS",7,68.6,24.4,7.3,233
"KY",8.9,59.9,31.2,6.7,331
"LA",13.1,63.2,23.7,6.5,360
"MA",11.4,46.2,42.5,5.4,435
"MD",8.1,60.8,31.1,5.9,396
"ME",7.2,52.2,40.6,5.8,368
"MI",10.7,46.7,42.6,5.3,481
"MN",5.8,62,32.2,6.4,336
"MO",8.4,66.5,25.1,5.3,448
"MS",8.6,63.9,27.6,8.8,230
"MT",4.1,76.8,19.1,9.7,130
"NC",7.5,63.9,28.6,5.2,508
"ND",3.4,73.3,23.3,8.1,212
"NE",5.4,68.8,25.8,9.2,159
"NH",6.8,61.8,31.4,5.9,350
"NJ",8.8,57.4,33.8,4.7,527
"NM",23.9,47.3,28.7,11.2,163
"NV",15.1,58.5,26.5,7.4,281
"NY",15.5,36.5,48,4.7,617
"OH",7.3,61.4,31.4,5.1,475
"OK",9.1,69.2,21.7,6.8,287
"OR",7.7,57.4,35,5.4,411
"PA",9,46.7,44.3,4.6,542
"RI",5.5,59.1,35.4,9,178
"SC",6.9,69.2,23.9,5.9,346
"SD",6.9,57.9,35.2,8.9,177
"TN",7.7,70.5,21.9,5.3,391
"TX",8.6,69.5,21.9,4.6,620
"UT",6.5,74.9,18.6,7.1,273
"VA",14.7,54.1,31.2,5.1,454
"VT",6.2,72.5,21.3,8,163
"WA",11.3,46,42.8,5.1,495
"WI",6.1,73.9,20,5.1,420
"WV",8.1,72,20,8.4,195
"WY",4.7,72.7,22.6,10,107
