In the last week, how closely did you personally follow the health recommendations listed below? - Frequently washing hands 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",1.4,3.8,18.4,76.4,0.8,17968
"AK",0.6,7.8,26.6,65,12.5,104
"AL",1.5,4.8,16.2,77.5,5.9,353
"AR",1.5,6.8,21.3,70.4,6.7,296
"AZ",2.2,3.2,16.4,78.1,4.6,475
"CA",2.1,4,16.8,77.1,3.5,868
"CO",2.2,6.1,22.4,69.3,5.4,388
"CT",1.2,2.7,16.4,79.8,6.9,242
"DC",0,2.8,16.6,80.6,9.9,119
"DE",0.7,2.1,10.3,86.9,5,260
"FL",0.7,3.2,19.1,77,4.1,602
"GA",1.9,2.6,20.3,75.2,5.1,429
"HI",0.8,3.5,17.7,78,6.5,272
"IA",1.6,6.2,23.7,68.5,7,240
"ID",2.1,2.8,22.5,72.7,5.5,365
"IL",1.8,3.6,17.9,76.7,4,516
"IN",1.4,5.9,23,69.7,5.7,375
"KS",0.6,5.3,17.1,76.9,6.5,237
"KY",0.1,7.8,18.7,73.4,6,331
"LA",1.4,2.9,19.3,76.5,5.8,358
"MA",0.5,2.6,19.9,77,4.6,434
"MD",0.6,3.2,19.2,77,5.1,396
"ME",1.8,6.2,19.9,72.1,5.2,367
"MI",0.8,1.8,20.2,77.2,4.4,479
"MN",2.3,5.9,21.9,70,6,336
"MO",2.5,3.1,20,74.4,4.9,449
"MS",3.1,4.3,15.1,77.5,7.7,228
"MT",7.1,5,23.9,64,11.1,129
"NC",0.7,2.7,14.2,82.4,4.1,507
"ND",1.2,8.1,18.6,72.2,8.3,210
"NE",2,3.8,23.7,70.5,9.1,158
"NH",1.4,5.3,15.5,77.7,5,350
"NJ",1.6,1.9,16.4,80.2,3.8,526
"NM",1,7,17.9,74.2,9.9,162
"NV",0.6,3.3,15,81.1,5.9,281
"NY",0.9,5.2,14.9,79,3.9,615
"OH",2.4,4.7,18.6,74.3,4.6,476
"OK",2.1,3.1,20.1,74.7,6.4,283
"OR",0.4,4.3,24.6,70.7,5,412
"PA",0.5,4.1,21.4,74.1,4,538
"RI",0.4,2.3,15.4,81.9,7.1,176
"SC",1,3.9,15.6,79.5,5.2,341
"SD",2.6,6,33.6,57.7,8.9,178
"TN",0.7,3.2,16.4,79.7,4.7,390
"TX",0.8,4.1,16.4,78.6,4.1,619
"UT",0.4,3.6,16.7,79.3,6.6,271
"VA",1.2,1.6,20.6,76.6,4.4,454
"VT",2.9,2.4,16,78.7,7.3,163
"WA",1.9,3.9,19.3,74.9,4.4,491
"WI",1.6,3.9,25.5,69,5.4,418
"WV",1.5,4.2,16.6,77.7,7.8,194
"WY",8.5,1.5,20.3,69.7,10.3,107
