How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Your state government 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",8.2,17.5,47.4,26.9,0.9,17971
"AK",5.7,23.1,47.7,23.5,13.1,104
"AL",7.9,25.5,45.7,20.9,7,354
"AR",8.6,14.3,56.9,20.1,7.2,294
"AZ",7.5,19,57,16.5,5.5,476
"CA",8.3,15.2,41.7,34.8,4.2,867
"CO",8.6,18.4,46.1,26.9,5.9,386
"CT",8.5,16.6,43,32,8.5,240
"DC",2.9,3.9,54.5,38.7,12.4,120
"DE",10.3,15.7,46.9,27.1,7.4,262
"FL",10.3,19.7,46.9,23.1,4.9,603
"GA",14.4,27.5,43.5,14.5,5.8,429
"HI",8.2,24.2,46.9,20.7,7.8,272
"IA",12.7,25.6,46.3,15.4,7.5,243
"ID",6.6,19.9,55.6,17.9,6.1,368
"IL",14.5,15.9,40.2,29.4,4.6,513
"IN",5,20.1,53.1,21.9,6.1,377
"KS",5,16.2,53.3,25.6,7.7,236
"KY",9.3,12.5,43.3,34.9,6.7,331
"LA",9.2,13.2,48.3,29.3,6.8,360
"MA",2.6,10.2,44.6,42.5,5.4,434
"MD",4.1,10.1,45.2,40.6,6,395
"ME",7.9,24.7,41.6,25.8,5.7,368
"MI",12.1,12.9,39.4,35.6,5.2,480
"MN",5.2,16.1,44.4,34.3,6.5,336
"MO",8.6,23.5,50.3,17.6,5.6,445
"MS",7.5,17,50.2,25.3,9.2,228
"MT",8.5,12,51.8,27.7,11.5,129
"NC",6.1,19.3,50.9,23.7,5.4,507
"ND",8.1,11.9,45.2,34.8,9.2,210
"NE",7.2,15.3,55.8,21.7,9.9,158
"NH",4.2,10.1,49.6,36.2,6,349
"NJ",6.2,17.1,45.6,31.1,4.8,527
"NM",16.5,14.1,37.1,32.3,10.9,162
"NV",10.6,13.7,45.9,29.8,7.6,278
"NY",6.8,13.1,39.4,40.6,4.7,616
"OH",5.3,14.2,45,35.5,5.2,478
"OK",11.9,23.4,52.2,12.5,7.4,287
"OR",10.2,20.2,42.5,27,5.4,410
"PA",11.9,17.4,47.5,23.2,4.6,541
"RI",4.7,16.3,42.8,36.2,9.1,178
"SC",5.1,22.1,55.5,17.3,6.3,345
"SD",8.1,29,41,21.9,8.9,177
"TN",8.1,17.7,54.2,20,5.8,389
"TX",7.4,19.1,53.3,20.2,5,617
"UT",5.4,21.8,46.5,26.3,8.2,271
"VA",10.9,17.6,50.3,21.1,5.2,452
"VT",4.7,7.5,44.1,43.7,8.9,161
"WA",8.2,18.1,42.3,31.3,5.1,490
"WI",11.7,25.1,44.6,18.6,5.8,417
"WV",7.7,10.3,58.9,23.1,9.2,194
"WY",7.3,19.7,52,21,11.2,107
