Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Your state government 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",20.9,64.5,14.6,0.9,17789
"AK",18.7,64.3,17,12.7,103
"AL",36.3,53.3,10.4,7.1,348
"AR",25.5,59.2,15.4,7.2,291
"AZ",37.6,53.2,9.3,5.6,468
"CA",12.3,69.5,18.2,3.9,866
"CO",13.2,68.7,18.1,5.5,381
"CT",10.3,74.9,14.8,7.5,236
"DC",17.3,76.4,6.3,10.8,116
"DE",19.7,64,16.3,7.1,261
"FL",35.7,58.1,6.2,4.8,595
"GA",48.8,46.9,4.3,5.9,424
"HI",21.4,64,14.6,7.6,265
"IA",49.3,43,7.7,7.5,241
"ID",18.9,60.2,20.9,6.1,359
"IL",10,61.6,28.4,4.6,512
"IN",20.7,68.2,11,5.8,369
"KS",15.8,69.3,15,7.2,233
"KY",13.3,71.3,15.5,6.2,324
"LA",18,69.2,12.8,6.3,356
"MA",12.5,77.3,10.2,4.6,431
"MD",12.1,76.7,11.2,5.1,393
"ME",11.2,63.9,24.9,5.6,367
"MI",8.7,64.9,26.4,5,477
"MN",9.4,69.2,21.4,6.1,333
"MO",33.3,55.8,10.9,5.6,443
"MS",27.8,60.2,12.1,9.1,225
"MT",8.2,75.1,16.7,10,129
"NC",15.7,66.1,18.2,5.1,505
"ND",19.5,70.1,10.3,8.5,207
"NE",34.8,59,6.2,9.8,158
"NH",12.6,78.5,9,5,346
"NJ",14,70.8,15.2,4.4,522
"NM",8,67.8,24.1,10.6,161
"NV",17.6,64.3,18.1,7.2,278
"NY",11.3,74.5,14.2,4.1,612
"OH",11.5,69.9,18.6,4.8,473
"OK",35.1,54.7,10.2,7.4,284
"OR",13.2,62.6,24.2,5.3,407
"PA",9.7,63.2,27.1,4.4,540
"RI",15.9,70.8,13.3,8.4,175
"SC",31.2,59.7,9.1,6.3,338
"SD",36.3,51.7,12,9,175
"TN",27.9,60.6,11.6,5.7,387
"TX",34,58.9,7.1,5,602
"UT",22.9,64.9,12.2,7.9,268
"VA",16.8,62.6,20.6,5,447
"VT",7.2,85,7.8,6.4,161
"WA",9.7,67.7,22.6,4.8,485
"WI",26.6,48.3,25,5.9,415
"WV",19.2,74.7,6.1,8.2,192
"WY",18.4,59.5,22.2,11.1,105
