Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - The federal government 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",46.3,44.4,9.3,0.9,17830
"AK",38,38.4,23.6,12.9,103
"AL",42.4,46.4,11.2,7.1,347
"AR",32.8,50.5,16.8,7.3,294
"AZ",51.9,40.3,7.7,5.6,469
"CA",48.5,43.8,7.7,4.2,868
"CO",52.2,35.9,11.9,5.9,381
"CT",58.3,37.4,4.3,8.5,240
"DC",60.1,35.7,4.2,12.3,119
"DE",44.9,44.1,11,7.4,262
"FL",44.8,46.2,9,4.9,599
"GA",45,47.6,7.5,5.9,423
"HI",55.2,39.1,5.7,7.9,264
"IA",48.5,41,10.5,7.5,242
"ID",33.3,45.2,21.6,6.2,358
"IL",45.4,45.6,8.9,4.7,516
"IN",42.3,46.4,11.3,6.2,372
"KS",43.2,47.9,8.8,7.8,231
"KY",40,52.2,7.8,6.9,324
"LA",39.8,51.8,8.4,6.8,355
"MA",55.8,39.7,4.5,5.5,429
"MD",57,36.6,6.4,6,392
"ME",46.4,42.3,11.3,5.8,369
"MI",53.1,42,4.9,5.3,478
"MN",47.4,45.6,7,6.6,336
"MO",42.4,45.5,12.1,5.6,446
"MS",45,44.3,10.7,9.2,226
"MT",41.5,49.3,9.2,11.6,129
"NC",40.1,50.9,9,5.4,503
"ND",42.5,43.8,13.7,9.2,208
"NE",42.4,45.9,11.6,9.9,159
"NH",53.2,37.6,9.1,6.1,344
"NJ",45.9,47.6,6.5,4.8,522
"NM",40.5,48.6,10.9,11.3,162
"NV",51.4,39.2,9.4,7.6,278
"NY",45.6,48.2,6.2,4.7,610
"OH",39.6,43.9,16.5,5.2,475
"OK",38.4,46,15.7,7.4,283
"OR",49.9,41,9.2,5.5,409
"PA",47.4,43.1,9.6,4.6,543
"RI",58.7,34.8,6.5,9.1,174
"SC",38.8,50.3,10.9,6.4,340
"SD",39.4,49.2,11.4,9,177
"TN",41.3,46.1,12.6,5.8,386
"TX",43.9,47.9,8.1,5,606
"UT",42,45.7,12.3,8.2,268
"VA",51.8,39.7,8.5,5.2,451
"VT",58.4,37.3,4.3,8.9,159
"WA",46.9,40.6,12.6,5.1,489
"WI",50.1,39.4,10.4,5.9,414
"WV",40,48.3,11.7,9.4,193
"WY",29.8,43.3,26.9,11.2,105
